"","sex","age","TIV","rGMV","rWMV","rCSFV","sROI_bonecortex03","proxyBMD","sROI_bonethickness01","BMD_head","BMD_total","T_BMD_total","femur_BMD","sit_height","sROI_headthickness03","BMI","VAT","ASAT","fat_percent","waist","diastolic BP","systolic BP"
"sex",0,1,9.69913778705824e-161,2.47168470596627e-26,0.637744836457555,1.9157463856746e-19,2.29896810778136e-05,2.29896810778136e-05,1,0.0353842239517393,5.1403973561021e-102,1.92217081511734e-11,1,2.29486490190957e-120,7.48818741112975e-176,0.000208847672257418,7.28412792861865e-61,3.17397945244981e-29,4.84542948384455e-137,1.54122809653914e-62,3.03943719230701e-07,2.33088495624508e-08
"age",0.0164971783635629,0,1,4.01234949376626e-66,4.07773345430971e-17,1.04552659605447e-66,5.31441411318481e-12,5.31441411318481e-12,0.925597372839098,0.0689905970011889,1,0.00230603400181899,0.000208847672257418,0.72236049990008,1,1,0.144047669807074,1,1,1,1,3.76843650638819e-17
"TIV",4.40869899411738e-163,0.123248701676135,0,4.434000450547e-32,1,2.27135043196807e-18,1.60363752696792e-05,1.60363752696792e-05,0.0739474250807474,5.52862732981115e-08,2.23102461415177e-72,9.76885454169009e-17,0.214821986997393,2.00676482193113e-90,7.15560847456169e-106,3.53124232764886e-06,1.77918975531854e-35,1.88604586459909e-08,3.88483561100511e-55,5.19819090046126e-47,2.48845514227969e-05,6.41994743783969e-06
"rGMV",1.41239126055215e-28,2.03672563135343e-68,2.49101148907135e-34,0,1.29109824343556e-13,2.12286349074841e-294,1,1,0.00717555431424703,1,1.30434056770863e-07,1,1,0.000187918348404558,1.68381312347615e-28,6.98827333653514e-07,8.53276338243572e-16,1,1.83354654523412e-06,5.21763235712369e-17,0.102317925961791,6.7532802241717e-12
"rWMV",0.00873623063640487,2.48642283799372e-19,0.345086836543546,8.66508888211788e-16,0,5.42267657602658e-136,0.000757138098845435,0.000757138098845435,1,1,1,1,1,1,0.07217560537988,1,0.0012494441873124,1,1,0.0105275663064391,1,0.0396699313186558
"rCSFV",1.14032522956821e-21,5.28043735381047e-69,1.3600900790228e-20,9.27014624780967e-297,2.51049841482712e-138,0,1,1,0.102317925961791,1,9.12320263477453e-06,1,1,0.00402034784440248,1.4369554014073e-23,6.92770460168335e-06,4.54153379802064e-16,1,0.00307485114311159,2.76715568158079e-16,0.169850713628024,2.26076956814821e-11
"sROI_bonecortex03",1.91580675648447e-07,3.66511318150677e-14,1.30377034712839e-07,0.88426184476808,6.94622109032509e-06,0.0915594888587837,0,0,2.72538772192831e-15,4.68877011941888e-153,4.70821050446182e-96,1.34516296357862e-121,2.96827850028227e-40,0.000208847672257418,5.67122731491189e-15,1,1,1,0.00320374214073084,0.42911103859836,1,1
"proxyBMD",1.91580675648447e-07,3.66511318150677e-14,1.30377034712839e-07,0.88426184476808,6.94622109032509e-06,0.0915594888587837,0,0,2.72538772192831e-15,4.68877011941888e-153,4.70821050446182e-96,1.34516296357862e-121,2.96827850028227e-40,0.000208847672257418,5.67122731491189e-15,1,1,1,0.00320374214073084,0.42911103859836,1,1
"sROI_bonethickness01",0.227437065407451,0.0132228196119871,0.000890932832298161,7.71564980026563e-05,0.912318824675229,0.0012477795848999,1.73591574645115e-17,1.73591574645115e-17,0,1.42533355103532e-11,1,1,1,1,1,1,1,0.514468491813991,0.117548644587923,1,1,1
"BMD_head",0.000397575550019543,0.000811654082366928,4.15686265399334e-10,0.0820491139890559,0.290510763126782,0.030905125349207,2.14099092210908e-155,2.14099092210908e-155,1.00375602185586e-13,0,6.44132749264238e-111,6.57625152712229e-166,5.03809843207742e-42,3.63449855096201e-05,5.60046069940117e-14,0.00272537135008656,1,1,1,0.00308501436269393,1,1
