"","age","TIV","rGMV","rWMV","rCSFV","sROI_bonecortex03","proxyBMD","sROI_bonethickness01","BMD_head","BMD_total","T_BMD_total","femur_BMD","sit_height","sROI_headthickness03","BMI","VAT","ASAT","fat_percent","waist","diastolic BP","systolic BP"
"age",NA,-0.0244730038770031,-0.545677251919563,-0.270778078293472,0.517683418511878,0.375229906123782,-0.375229906123782,0.117926480801345,-0.203478949818721,-0.257862819225445,-0.257117837375449,-0.245581370522702,-0.263765796866449,-0.0794853580020563,0.0175689742273784,0.0561694649430728,-0.0360768150266036,0.000767663558316207,0.0279702948506889,0.0400966794382583,0.348103187224081
"TIV",0.0162641575475074,NA,-0.156910182625687,0.0652266626970287,0.0707547653212946,-0.106659453834365,0.106659453834365,0.168295129415018,0.167674514722247,0.187217754350696,0.186984075936304,0.169162852651411,0.161997466075563,0.136806944361245,0.0728762033382074,-0.0128063555327747,0.0570734762939052,0.0764928122287695,0.07657287919582,0.0277573205309804,0.0525136019440165
"rGMV",-0.498712042119976,-0.223424537248325,NA,0.288567407971962,-0.856252904329084,-0.0778064278700769,0.0778064278700769,0.14774758424459,0.00970490389398283,0.0798361632588711,0.083248646708484,0.130285922031994,0.158964672423325,-0.145206438144942,-0.0899081504659882,-0.105076954410671,-0.0220802110404048,-0.0210858138383641,-0.126347179008939,-0.114284305398409,-0.263450319804861
"rWMV",-0.273562164976228,0.020018784020484,0.184374167940245,NA,-0.719278559066142,-0.079407594453786,0.079407594453786,0.0499155815929805,-0.0545733956102374,-0.0218023350352857,-0.0169375836200372,0.0258729158267393,0.102537740798666,-0.115916831529881,-0.0527909771600298,-0.0954730940311844,-0.0575816306501343,-0.0596664183427776,-0.0916189891682456,-0.0389211665637159,-0.140849535401095
"rCSFV",0.5147825050578,0.151800331673327,-0.838389083041465,-0.661451777628918,NA,0.0823142161996847,-0.0823142161996847,-0.142482541504059,0.0333617063191101,-0.0324973662227355,-0.0383406339810553,-0.0915615089813293,-0.161221620683386,0.178499668954334,0.095599974408617,0.135991177926692,0.0576615279533454,0.0508421396365317,0.14577921970345,0.109021602122568,0.259496443094238
"sROI_bonecortex03",0.104464549780002,-0.00891750587660947,-0.0198180306170831,-0.248618137852711,0.132238169836704,NA,-1,0.305598693088374,-0.748487771188999,-0.709348260953343,-0.711814100927254,-0.445201178501331,-0.0890718364977608,-0.29526751914419,-0.0955871785289385,-0.0469778115880683,-0.103487695624888,-0.0726768515641432,-0.0773645809083706,0.0298636948212748,0.102868041679039
"proxyBMD",-0.104464549780002,0.00891750587660947,0.0198180306170831,0.248618137852711,-0.132238169836704,-1,NA,-0.305598693088374,0.748487771188999,0.709348260953343,0.711814100927254,0.445201178501331,0.0890718364977608,0.29526751914419,0.0955871785289385,0.0469778115880683,0.103487695624888,0.0726768515641432,0.0773645809083706,-0.0298636948212748,-0.102868041679039
"sROI_bonethickness01",0.0421923002107419,0.211592359760523,0.0844976575118852,-0.0636867994701836,-0.03279102153728,0.214800304167886,-0.214800304167886,NA,0.173323538412509,0.0140881073954608,0.0112799027439171,-0.0112912787910594,0.0521119190783934,-0.100157944669686,0.0341177023306778,0.00818283410605261,-0.0078564325570566,0.0269986854172267,0.0258282856729604,-0.010740879754941,0.149763204577517
"BMD_head",-0.0170593293388867,0.142994738842703,-0.0425793200116123,0.00888891726263099,0.0424370940043633,-0.662716936118871,0.662716936118871,0.308330614322132,NA,0.792691662865052,0.793792442220788,0.468467437112967,0.0945900328064852,0.297021911730277,0.157458670731661,0.0846859268086317,0.131174399845785,0.119205420442151,0.142868889935937,0.0136181443790173,0.0210346506291393
"BMD_total",-0.0506635719957742,0.112466620663278,-0.0333230572615367,0.0623532490862629,0.00472832098478615,-0.556276558976096,0.556276558976096,0.167826411500483,0.656270304083166,NA,0.995208932490776,0.738126365650563,0.147836098722394,0.423772262282789,0.323626391655483,0.232282167427758,0.295888036856087,0.263327112594959,0.291230796916841,0.0090721664061937,0.0260084577270133
