"","sex","age","TIV","rGMV","rWMV","rCSFV","sROI_bonecortex03","proxyBMD","sROI_bonethickness01","BMD_head","BMD_total","T_BMD_total","femur_BMD","sit_height","sROI_headthickness03","BMI","VAT","ASAT","fat_percent","waist","diastolic BP","systolic BP"
"sex",1,-0.0758084551616756,-0.723914463254094,0.340567002328934,0.0828824288462334,-0.295987240652952,0.163762061429279,-0.163762061429279,0.0382021345779729,-0.111786617696698,-0.613225979707349,-0.231118047117813,-0.0238884566822213,-0.653192021911374,-0.745724471416486,-0.150196680127956,-0.495779015870497,0.357266839968087,0.684906288815145,-0.501589804677307,-0.206544124541903,-0.220351301506731
"age",-0.0758084551616756,1,0.0487715401840819,-0.513655543267677,-0.27895615571699,0.515582533438346,0.236353881385621,-0.236353881385621,0.0783296612985386,-0.105733299695293,-0.0717972928902123,-0.133634312503842,-0.150092800764242,-0.0813857728949562,0.0320074000732656,0.0296002710097618,0.0984701969892783,-0.0344125688780616,-0.0188045464448983,0.0738743482517501,0.00264816988940594,0.306914036110448
"TIV",-0.723914463254094,0.0487715401840819,1,-0.372818064654269,-0.02988773733186,0.288291727161438,-0.165963713790792,0.165963713790792,0.104919773103516,0.195907203196698,0.533622648429592,0.276037722865836,0.0944583467417218,0.584636971895884,0.622124833055829,0.174524323745837,0.390300368496676,-0.20107418469352,-0.475017743308239,0.44287637155435,0.179908329755896,0.188711620655046
"rGMV",0.340567002328934,-0.513655543267677,-0.372818064654269,1,0.250629598976924,-0.862013093080073,0.00460902798379643,-0.00460902798379643,0.12467478931813,-0.0550165878717807,-0.191701421064696,-0.0579181796497323,0.0266591784058097,-0.150922331682416,-0.353167842108525,-0.183148073648104,-0.268660306667224,0.0532700604758737,0.178072125123016,-0.278127542369063,-0.112428646962996,-0.259017041414887
"rWMV",0.0828824288462334,-0.27895615571699,-0.02988773733186,0.250629598976924,1,-0.683021845460591,-0.141614934220769,0.141614934220769,-0.00348646603776452,-0.0334578201998291,-0.0345893682434804,0.00136500017663428,0.0421542047480384,-0.0229503011971349,-0.105236689406636,-0.0683614483574618,-0.138063432223022,-0.0334881710365028,-0.00117346905717685,-0.121608006229324,-0.0420072530252497,-0.12206641464472
"rCSFV",-0.295987240652952,0.515582533438346,0.288291727161438,-0.862013093080073,-0.683021845460591,1,0.0533835594626973,-0.0533835594626973,-0.101931224348538,0.0682569498134322,0.169183880089815,0.051237191485176,-0.0330841311522232,0.129096788365813,0.323551835317747,0.170756088883635,0.270827265444308,-0.0201144562086462,-0.131462455660201,0.272541347397175,0.106821610509146,0.253635610093882
"sROI_bonecortex03",0.163762061429279,0.236353881385621,-0.165963713790792,0.00460902798379643,-0.141614934220769,0.0533835594626973,1,-1,0.264635886790103,-0.711958460051386,-0.598882599987621,-0.655680053010325,-0.413220771633431,-0.150207323336291,-0.262029598205419,-0.0570244783852967,-0.0464540295785325,0.0482172966573604,0.131026889855061,-0.0874624173186137,-0.0192484892051793,0.0198006104310467
"proxyBMD",-0.163762061429279,-0.236353881385621,0.165963713790792,-0.00460902798379643,0.141614934220769,-0.0533835594626973,-1,1,-0.264635886790103,0.711958460051386,0.598882599987621,0.655680053010325,0.413220771633431,0.150207323336291,0.262029598205419,0.0570244783852967,0.0464540295785325,-0.0482172966573604,-0.131026889855061,0.0874624173186137,0.0192484892051793,-0.0198006104310467
"sROI_bonethickness01",0.0382021345779729,0.0783296612985386,0.104919773103516,0.12467478931813,-0.00348646603776452,-0.101931224348538,0.264635886790103,-0.264635886790103,1,0.232349598352209,0.0476337822066254,0.07373616726638,0.0138315448689108,0.0236906931587541,-0.0354339868356496,0.0619098992461219,0.048963401516998,0.0853047899822212,0.100452690796721,0.0650955491929119,-0.00506296721265657,0.0652945711848382
"BMD_head",-0.111786617696698,-0.105733299695293,0.195907203196698,-0.0550165878717807,-0.0334578201998291,0.0682569498134322,-0.711958460051386,0.711958460051386,0.232349598352209,1,0.633348451849132,0.731623073182027,0.421288391399313,0.16095497468239,0.253742167160565,0.132388804194278,0.0724858175302219,0.0355597629465937,-0.0434847349550104,0.131368058369651,0.0265044406648373,0.0294763864416168
"BMD_total",-0.613225979707349,-0.0717972928902123,0.533622648429592,-0.191701421064696,-0.0345893682434804,0.169183880089815,-0.598882599987621,0.598882599987621,0.0476337822066254,0.633348451849132,1,0.90041487732359,0.599524878114901,0.481777468630762,0.658896002569635,0.339899117075497,0.44873728623804,-0.046653186332701,-0.312714091748055,0.487330105907967,0.143185593668722,0.151672023055362
"T_BMD_total",-0.231118047117813,-0.133634312503842,0.276037722865836,-0.0579181796497323,0.00136500017663428,0.051237191485176,-0.655680053010325,0.655680053010325,0.07373616726638,0.731623073182027,0.90041487732359,1,0.731577311577312,0.256017190064264,0.415857616590627,0.331154292739075,0.286677531837727,0.125407999289119,-0.0280973732600291,0.330261371312305,0.0673382720002289,0.0718382462529727
"femur_BMD",-0.0238884566822213,-0.150092800764242,0.0944583467417218,0.0266591784058097,0.0421542047480384,-0.0330841311522232,-0.413220771633431,0.413220771633431,0.0138315448689108,0.421288391399313,0.599524878114901,0.731577311577312,1,0.116591837257141,0.224735581455029,0.300947249618718,0.185130146462489,0.203716076771818,0.122379914069005,0.213648204306502,0.043041991334485,0.0291553032049603
"sit_height",-0.653192021911374,-0.0813857728949562,0.584636971895884,-0.150922331682416,-0.0229503011971349,0.129096788365813,-0.150207323336291,0.150207323336291,0.0236906931587541,0.16095497468239,0.481777468630762,0.256017190064264,0.116591837257141,1,0.53799092684986,0.0731262862490063,0.387646812647913,-0.155952923393156,-0.435337056440508,0.387965937067366,0.150526046386086,0.123097769102189
"sROI_headthickness03",-0.745724471416486,0.0320074000732656,0.622124833055829,-0.353167842108525,-0.105236689406636,0.323551835317747,-0.262029598205419,0.262029598205419,-0.0354339868356496,0.253742167160565,0.658896002569635,0.415857616590627,0.224735581455029,0.53799092684986,1,0.527621229881084,0.735934865636325,0.108903076823588,-0.245713227420465,0.764929637292099,0.285125619157445,0.275279116393046
"BMI",-0.150196680127956,0.0296002710097618,0.174524323745837,-0.183148073648104,-0.0683614483574618,0.170756088883635,-0.0570244783852967,0.0570244783852967,0.0619098992461219,0.132388804194278,0.339899117075497,0.331154292739075,0.300947249618718,0.0731262862490063,0.527621229881084,1,0.644325349129591,0.63718857960801,0.39642313549827,0.72436900112062,0.181723757580952,0.160919334340997
"VAT",-0.495779015870497,0.0984701969892783,0.390300368496676,-0.268660306667224,-0.138063432223022,0.270827265444308,-0.0464540295785325,0.0464540295785325,0.048963401516998,0.0724858175302219,0.44873728623804,0.286677531837727,0.185130146462489,0.387646812647913,0.735934865636325,0.644325349129591,1,0.425248909282123,0.138164269255092,0.85583792414021,0.298630351485225,0.261293577360139
"ASAT",0.357266839968087,-0.0344125688780616,-0.20107418469352,0.0532700604758737,-0.0334881710365028,-0.0201144562086462,0.0482172966573604,-0.0482172966573604,0.0853047899822212,0.0355597629465937,-0.046653186332701,0.125407999289119,0.203716076771818,-0.155952923393156,0.108903076823588,0.63718857960801,0.425248909282123,1,0.835359527183958,0.466384472080118,0.0810497313211353,0.018651846084114
"fat_percent",0.684906288815145,-0.0188045464448983,-0.475017743308239,0.178072125123016,-0.00117346905717685,-0.131462455660201,0.131026889855061,-0.131026889855061,0.100452690796721,-0.0434847349550104,-0.312714091748055,-0.0280973732600291,0.122379914069005,-0.435337056440508,-0.245713227420465,0.39642313549827,0.138164269255092,0.835359527183958,1,0.129740345060265,-0.0288514395991047,-0.086862183463041
"waist",-0.501589804677307,0.0738743482517501,0.44287637155435,-0.278127542369063,-0.121608006229324,0.272541347397175,-0.0874624173186137,0.0874624173186137,0.0650955491929119,0.131368058369651,0.487330105907967,0.330261371312305,0.213648204306502,0.387965937067366,0.764929637292099,0.72436900112062,0.85583792414021,0.466384472080118,0.129740345060265,1,0.276649610301581,0.244717318322851
"diastolic BP",-0.206544124541903,0.00264816988940594,0.179908329755896,-0.112428646962996,-0.0420072530252497,0.106821610509146,-0.0192484892051793,0.0192484892051793,-0.00506296721265657,0.0265044406648373,0.143185593668722,0.0673382720002289,0.043041991334485,0.150526046386086,0.285125619157445,0.181723757580952,0.298630351485225,0.0810497313211353,-0.0288514395991047,0.276649610301581,1,0.614617818779124
"systolic BP",-0.220351301506731,0.306914036110448,0.188711620655046,-0.259017041414887,-0.12206641464472,0.253635610093882,0.0198006104310467,-0.0198006104310467,0.0652945711848382,0.0294763864416168,0.151672023055362,0.0718382462529727,0.0291553032049603,0.123097769102189,0.275279116393046,0.160919334340997,0.261293577360139,0.018651846084114,-0.086862183463041,0.244717318322851,0.614617818779124,1
