"","age","TIV","rGMV","rWMV","rCSFV","occipital intensity","skull BMD","bone thickness","BMD head","BMD total","TBMD total","BMD femur","sit height","head thickness","BMI","VAT","ASAT","fat %","waist","diastolic BP","systolic BP"
"age",1,0.0162641575475074,-0.498712042119976,-0.273562164976228,0.5147825050578,0.104464549780002,-0.104464549780002,0.0421923002107419,-0.0170593293388867,-0.0506635719957742,-0.0507311526686023,-0.0570235985199672,-0.114392748564879,0.0196427496566355,0.0223498365563688,0.107047184970136,0.0188998270215712,0.0850659774462905,0.0783649571801878,-0.0733454666702559,0.242394016997628
"TIV",0.0162641575475074,1,-0.223424537248325,0.020018784020484,0.151800331673327,-0.00891750587660947,0.00891750587660947,0.211592359760523,0.142994738842703,0.112466620663278,0.112460516541119,0.0340310809410697,0.285664576964267,0.193893664881555,0.0813188233103117,0.0975325571525728,0.124037452057404,0.00766857869809954,0.145372963814625,0.0657443128123593,0.0144850858605605
"rGMV",-0.498712042119976,-0.223424537248325,1,0.184374167940245,-0.838389083041465,-0.0198180306170831,0.0198180306170831,0.0844976575118852,-0.0425793200116123,-0.0333230572615367,-0.0333316229216265,-0.0474498167325337,0.0644497089494879,-0.179158965513884,-0.198743288327812,-0.150447809524543,-0.131890019230673,-0.117994844993868,-0.139254209842576,0.0102812616153974,-0.163115872126243
"rWMV",-0.273562164976228,0.020018784020484,0.184374167940245,1,-0.661451777628918,-0.248618137852711,0.248618137852711,-0.0636867994701836,0.00888891726263099,0.0623532490862629,0.0624233492675734,0.0578412734262008,0.00911089069345659,-0.0203425951264851,-0.0579267112799805,-0.125920258851128,-0.0782702985268599,-0.0953803154078912,-0.0983229534592622,-0.0024780799712037,-0.0693529480959071
"rCSFV",0.5147825050578,0.151800331673327,-0.838389083041465,-0.661451777628918,1,0.132238169836704,-0.132238169836704,-0.03279102153728,0.0424370940043633,0.00472832098478615,0.00469798443490435,0.0143412990123889,-0.0445361822898439,0.150637523617388,0.178705951539163,0.176755756806742,0.141060528038809,0.143946794238894,0.16268030756622,-0.00613865953492618,0.164289667915203
"occipital intensity",0.104464549780002,-0.00891750587660947,-0.0198180306170831,-0.248618137852711,0.132238169836704,1,-1,0.214800304167886,-0.662716936118871,-0.556276558976096,-0.55631607110881,-0.375769851596831,-0.0355720418138058,-0.131513969589629,0.051218385754975,0.135311894672169,0.0882088664628784,0.137584131467083,0.0962629328650491,-0.0235253711825779,-0.0298694825709666
"skull BMD",-0.104464549780002,0.00891750587660947,0.0198180306170831,0.248618137852711,-0.132238169836704,-1,1,-0.214800304167886,0.662716936118871,0.556276558976096,0.55631607110881,0.375769851596831,0.0355720418138058,0.131513969589629,-0.051218385754975,-0.135311894672169,-0.0882088664628784,-0.137584131467083,-0.0962629328650491,0.0235253711825779,0.0298694825709666
"bone thickness",0.0421923002107419,0.211592359760523,0.0844976575118852,-0.0636867994701836,-0.03279102153728,0.214800304167886,-0.214800304167886,1,0.308330614322132,0.167826411500483,0.16779827130172,0.0390825760822318,0.0772168716924896,0.0584304967336467,0.107889194083621,0.141202953145038,0.167571146436538,0.167467544133955,0.165221658141146,0.0107541533735554,-0.0138030427931642
"BMD head",-0.0170593293388867,0.142994738842703,-0.0425793200116123,0.00888891726263099,0.0424370940043633,-0.662716936118871,0.662716936118871,0.308330614322132,1,0.656270304083166,0.656264304807563,0.367851352233842,0.15681770294086,0.213541728416917,0.0635747977329941,-0.0424165727202841,0.0294976568224024,-0.049441852754588,0.0138247580880538,0.0038242635002534,0.0110395535156969
"BMD total",-0.0506635719957742,0.112466620663278,-0.0333230572615367,0.0623532490862629,0.00472832098478615,-0.556276558976096,0.556276558976096,0.167826411500483,0.656270304083166,1,0.999999543998146,0.754269455385224,0.151461059992987,0.323547917252269,0.285923835546664,0.182922081638976,0.182071138502798,0.108258311396529,0.201984631378879,0.0469563289266708,0.0459249369691404
