"","age","TIV","rGMV","rWMV","rCSFV","occipital intensity","skull BMD","bone thickness","BMD head","BMD total","TBMD total","BMD femur","sit height","head thickness","BMI","VAT","ASAT","fat %","waist","diastolic BP","systolic BP"
"age",0,1,1.51735384634641e-30,8.31088444748674e-08,6.30631472535648e-33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.83016365876157e-05
"TIV",0.716760735722519,0,7.34638800973388e-05,1,0.0871388050951866,1,1,0.000287640669783617,0.164235094373591,1,1,1,1.28912175977424e-08,0.00194656300427355,1,1,0.56447805857699,1,0.138231352153323,1,1
"rGMV",8.47683713042687e-33,4.47950488398407e-07,0,0.00509736700829631,5.00482961456323e-131,1,1,1,1,1,1,1,1,0.00818748414530608,0.00116974144218279,0.0937719488403266,0.33802613842704,0.82643871315248,0.208901603227147,1,0.097628098830575
"rWMV",4.94695502826591e-10,0.655194227975436,3.35353092651073e-05,0,6.22326395032532e-62,2.92191935393918e-06,2.92191935393918e-06,1,1,1,1,1,1,1,1,0.50448856701837,1,1,1,1,1
"rCSFV",3.5035081807536e-35,0.000660142462842323,2.41779208433006e-133,3.22448909343281e-64,0,0.335607163216289,0.335607163216289,1,1,1,1,1,1,0.0930426157268925,0.00849705254977145,0.01011435466093,0.183238839876725,0.153590115153262,0.0352642355612615,1,0.0921749089248435
"occipital intensity",0.0194679219274755,0.842335986378355,0.658432099769925,1.76019238189107e-08,0.00305097421105717,0,0,0.000202280299820318,3.00147048621461e-62,1.07474411905803e-39,1.06926502025261e-39,5.78382681200972e-16,1,0.34423730297838,1,0.272047804854366,1,0.235307447556616,1,1,1
"skull BMD",0.0194679219274755,0.842335986378355,0.658432099769925,1.76019238189107e-08,0.00305097421105717,0,0,0.000202280299820318,3.00147048621461e-62,1.07474411905803e-39,1.06926502025261e-39,5.78382681200972e-16,1,0.34423730297838,1,0.272047804854366,1,0.235307447556616,1,1,1
"bone thickness",0.346445371216468,1.80906081624916e-06,0.0590160424058616,0.155037965803903,0.464418181118778,1.24864382605134e-06,1.24864382605134e-06,0,3.10189106266843e-10,0.0231725341228703,0.0231725341228703,1,1,1,1,0.182768565858391,0.0233845304331057,0.0234377930699573,0.0285166096245199,1,1
"BMD head",0.703551179186127,0.00134618929814419,0.342035788350993,0.842834861670502,0.343652089619671,1.53136249296664e-64,1.53136249296664e-64,1.79300061425921e-12,0,1.2586476696375e-60,1.2586476696375e-60,3.20062521038423e-15,0.05748818651524,0.000231219588662166,1,1,1,1,1,1,1
"BMD total",0.258154965757768,0.0118518699687495,0.457198543672936,0.163884169818122,0.916007289161385,5.84100064705452e-42,5.84100064705452e-42,0.000163186860020213,6.5554566126953e-63,0,0,9.60344394337136e-91,0.0887550323648886,2.09541807055585e-11,1.24768470852933e-08,0.00580502236660864,0.00623805763874359,1,0.000838739200463535,1,1
"TBMD total",0.257519668511489,0.011856493912558,0.457082825428564,0.163409908584373,0.916544210083997,5.74873666802477e-42,5.74873666802477e-42,0.000163606675229006,6.57813182360822e-63,0,0,9.23438282927044e-91,0.0887550323648886,2.09541807055585e-11,1.24768470852933e-08,0.00580502236660864,0.00623805763874359,1,0.000838739200463535,1,1
"BMD femur",0.203042532058073,0.447688991285838,0.289622041216246,0.196629393843766,0.749047913068952,3.24934090562344e-18,3.24934090562344e-18,0.383176257765862,1.81853705135468e-17,4.77783280764744e-93,4.57147664815368e-93,0,1,6.06339928071655e-07,1.06630593232545e-09,0.00218729494026149,0.0307651476953581,0.556174724573568,0.000961321285922659,1,1
"sit height",0.0104700588089937,7.62793940694815e-11,0.150142387141597,0.838963060837325,0.320291038034095,0.427384416277953,0.427384416277953,0.0845497766134308,0.000432242003873985,0.000679006899588845,0.000677519331029684,0.0834005606729098,0,0.0545573861956779,1,0.0965543102774694,0.24217431979998,1,0.165358796758726,1,1
"head thickness",0.661264370497955,1.26400195082698e-05,5.60786585294937e-05,0.649985222773142,0.000726895435366347,0.00321717105587271,0.00321717105587271,0.192100597758578,1.44512242913854e-06,1.19738175460334e-13,1.20129411594978e-13,3.63077801240512e-09,0.000407144673102074,0,1.70086599029913e-53,6.70781929447382e-48,2.18301883447412e-49,8.63008056653648e-36,5.04143769944299e-54,0.00858285684327509,0.165358796758726
