"","age","TIV","rGMV","rWMV","rCSFV","sROI_bonecortex03","proxyBMD","sROI_bonethickness01","BMD_head","BMD_total","T_BMD_total","femur_BMD","sit_height","sROI_headthickness03","BMI","VAT","ASAT","fat_percent","waist","diastolic BP","systolic BP"
"age",0,1,6.97847093656046e-38,1.16384033734629e-07,2.25624997824346e-33,6.33136466697677e-16,6.33136466697677e-16,0.830205368471161,0.000617187166357424,7.38762793603099e-07,8.09725349216135e-07,3.89722534287727e-06,3.21822013876724e-07,1,1,1,1,1,1,1,1.30099684851175e-10
"TIV",0.58510366382402,0,0.0506019386308015,1,1,1,1,0.0198553194834379,0.0208485920315736,0.00337460844609968,0.00342974700221009,0.0184797915165902,0.0338799108043826,0.234403386357875,1,1,1,1,1,1,1
"rGMV",3.87692829808914e-40,0.000428829988396623,0,7.59300518903046e-09,1.17214171971914e-142,1,1,0.106048392755065,1,1,1,0.36586042174975,0.0431039704835715,0.127655459453648,1,1,1,1,0.480217084912937,1,1.30363415048079e-05
"rWMV",7.508647337718e-10,0.145278399830019,4.80569948672814e-11,0,1.5868686834606e-78,1,1,1,1,1,1,1,1,0.938517034330356,1,1,1,1,1,1,0.486406631731833
"rCSFV",1.2604748481807e-35,0.114073514331136,5.66252038511663e-145,8.26494105969061e-81,0,1,1,0.154163700165606,1,1,1,1,0.0359821314813743,0.00789145793666193,1,0.246977900559275,1,1,0.123019279647123,1,2.04237575459835e-05
"sROI_bonecortex03",3.65974836241432e-18,0.0170411925394748,0.0821957109392648,0.0760688156735833,0.065897976455275,0,0,4.78908260720772e-10,1.36431378493647e-88,2.15041757204406e-75,3.7165058475095e-76,1.82378693164164e-23,1,2.62603751885087e-09,1,1,1,1,1,1,1
"proxyBMD",3.65974836241432e-18,0.0170411925394748,0.0821957109392648,0.0760688156735833,0.065897976455275,0,0,4.78908260720772e-10,1.36431378493647e-88,2.15041757204406e-75,3.7165058475095e-76,1.82378693164164e-23,1,2.62603751885087e-09,1,1,1,1,1,1,1
"sROI_bonethickness01",0.00830205368471161,0.000156341098294787,0.000920798066438639,0.265258892710544,0.00140148818332369,2.86771413605253e-12,2.86771413605253e-12,0,0.0128399996893976,1,1,1,1,1,1,1,1,1,1,1,0.283518460754228
"BMD_head",4.50501581282791e-06,0.0001654650161236,0.828621251064347,0.223166256077913,0.456676542146556,6.92545068495671e-91,6.92545068495671e-91,9.80152648045619e-05,0,8.1811297041287e-107,2.54119137570004e-107,2.16753658753709e-26,1,1.99064053403896e-09,0.0486833230764246,1,0.346279102129026,0.769840141378907,0.150914190750854,1,1
"BMD_total",4.8924688318086e-09,2.51836451201468e-05,0.07449347043511,0.626717153355959,0.468429968045153,1.13778707515558e-77,1.13778707515558e-77,0.753333602328248,4.11112045433603e-109,0,0,7.19719614322327e-85,0.106048392755065,5.75133224377518e-21,2.00652974982347e-11,2.15478885796532e-05,2.38580202226028e-09,3.40663029395743e-07,4.97761926845951e-09,1,1
"T_BMD_total",5.43439831688681e-09,2.57875714451887e-05,0.0628760431996666,0.705567987852469,0.392279139107303,1.94581457984791e-78,1.94581457984791e-78,0.801347935173462,1.27059568785002e-109,0,0,2.98723838793892e-84,0.127655459453648,5.27534140885641e-20,7.18129156065558e-11,3.43211786761357e-05,8.48842809067099e-09,7.46408198000194e-07,9.9230305839033e-09,1,1
"femur_BMD",2.6511737026376e-08,0.000144373371223361,0.00351788867067067,0.563814754390672,0.0407019128663546,1.03038809697268e-25,1.03038809697268e-25,0.801151775640774,1.2177171840096e-28,3.70989491918725e-87,1.54779191084918e-86,0,0.00322846495573995,2.28288522337095e-12,1.79968887758085e-09,0.000207207088420361,4.18797969959807e-09,1.99652579434241e-06,2.22073605478285e-07,1,1
"sit_height",2.10341185540342e-09,0.000275446429303924,0.000359199754029762,0.0218409813974062,0.000294935503945691,0.0465160726210083,0.0465160726210083,0.244776008558759,0.0344686047553124,0.00091421028237125,0.00113575849944875,2.39145552277033e-05,0,1,1,1,1,1,1,1,1
"sROI_headthickness03",0.075780975098781,0.00217040172553588,0.00112969433144821,0.00947997004374097,5.97837722474388e-05,1.62101081410547e-11,1.62101081410547e-11,0.0251150499473245,1.21380520368229e-11,3.28647556787153e-23,3.03180540738874e-22,1.33502059846254e-14,0.219529748814102,0,1.10237013589888e-52,2.07426082224506e-59,2.42085102222376e-57,9.1740552980025e-49,4.69993144583489e-64,0.0227773233030927,0.0740390174343401
"BMI",0.695131224369334,0.103599618732994,0.0444897842753463,0.238673286113831,0.0325795187651401,0.032602888808738,0.032602888808738,0.446533313605498,0.000409103555264073,1.18031161754322e-13,4.24928494713348e-13,1.09072053186718e-11,0.371587911680649,6.02388052403757e-55,0,5.85015234661622e-64,2.18391298250069e-109,2.50433044869166e-87,3.14590922205761e-95,0.0208905877345866,0.0168522973450255
"VAT",0.209902394331186,0.775143287189132,0.0187622786006863,0.0328118830761801,0.00230820467812406,0.294451801835919,0.294451801835919,0.855175580300946,0.0584515817009547,1.49638115136481e-07,2.41698441381237e-07,1.46955381858412e-06,0.309290677125775,1.12122206607841e-61,3.1452431971055e-66,0,1.31696561154708e-114,3.13475684492025e-113,8.6464872503693e-125,3.00718518391582e-05,0.00317968098022242
"ASAT",0.420851367867217,0.202647035888353,0.622328579127561,0.198649578185759,0.198026321940742,0.0206413644617288,0.0206413644617288,0.860892482713381,0.00329789621075263,1.46368222224557e-11,5.40664209596878e-11,2.61748731224879e-11,0.0735704697321407,1.31567990338248e-59,1.08652387189089e-111,6.48751532781812e-117,0,2.70314094058963e-172,5.65896943560449e-130,0.00047185784080795,0.0404794366689659
"fat_percent",0.98633887447931,0.0875149910452589,0.638094024104642,0.182850547032884,0.256478674942418,0.104550201575732,0.104550201575732,0.546969303718771,0.00762217961761294,2.24120414076146e-09,4.97605465333463e-09,1.34900391509622e-08,0.384344995430879,5.0406897241772e-51,1.28427202497008e-89,1.55185982421795e-115,1.29958699066809e-174,0,6.21952592580807e-122,0.000214494004662377,0.227373463212358
"waist",0.532633161535443,0.0871830375443032,0.00466230179527123,0.0405752845506625,0.00107911648813265,0.0839549357647557,0.0839549357647557,0.564487679533064,0.00135958730406174,3.13057815626384e-11,6.36091704096366e-11,1.44203639920964e-09,0.525312066397127,2.51333232397588e-66,1.58884304144324e-97,4.21779865871673e-127,2.74707254155558e-132,3.04878721853337e-124,0,0.00057030293667419,0.0144699527544254
"diastolic BP",0.423858207629142,0.579910305048733,0.0222526412345634,0.437582833383703,0.0292492808787074,0.551484194132741,0.551484194132741,0.830428915570644,0.785988720982454,0.856462377341282,0.918977922213226,0.184769311505097,0.905423838892185,0.000183688091153974,0.000167124701876693,2.10292670203904e-07,3.39466072523705e-06,1.53210003330269e-06,4.13262997589993e-06,0,6.92602782097743e-41
"systolic BP",7.744028860189e-13,0.29477304422606,8.92900103069036e-08,0.00476869246795915,1.40853500317128e-07,0.039745862726055,0.039745862726055,0.00267470245994554,0.674907118708857,0.604019465071032,0.64450757654979,0.639646676534269,0.098531808122501,0.000632812114823419,0.000130637963914927,2.33800072075178e-05,0.000334540798917074,0.00208599507534274,0.000111307328880195,3.82653470772234e-43,0
