"","v_31_0_0","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"v_31_0_0",0,1,5.74453478933495e-160,1.61718799333221e-25,1,1.27032230573899e-18,1,1.99593350040229e-09,7.77378769509007e-08,0.0426609885831898,1.99593350040229e-09,1.21770428822995e-13,1,1,1,1.19194268193018e-13,0.0225366474414032,6.1103532284542e-07,1,0.140539203217412,5.77466291178222e-06,1,0.000554090984970591,1,0.0138995022365801,1,1.79137959008345e-12,0.283073791613914,1.37960061340337e-10,1,1.38124887492293e-119,1.23617684314944e-170,2.08459860676996e-39,7.1046443564498e-06,2.75919530933829e-98,1.70622629080275e-13,1,1.93533006892488e-14,1,8.94332260516462e-19,1,1,0.0015336691099057,4.56845561882082e-60,2.06756966591787e-28,2.86929810448859e-136,1.41673146540219e-150,2.18543775610677e-12,1,1,1,1,0.578524026124123
"age",0.0164971783635629,0,1,2.50313580093337e-65,2.72014658476513e-16,6.50549881989449e-66,8.24500152259625e-12,4.89209677217489e-07,1.75940444931956e-12,1.98352175171879e-11,4.89209677217489e-07,6.13180816654659e-13,2.68909351215467e-12,3.61759782058976e-12,5.02144953695105e-17,8.18138501554068e-11,4.67196843322957e-12,9.72777360277008e-10,1,1,0.00239673908993175,1,0.124961294543575,0.000376087402805852,2.08779015931419e-12,1,0.576305734442948,0.558418008668446,0.0174631701108622,0.00154112014413057,1,1,1,1,1,1,1,1,1,1,1,0.0292023861238033,1,1,1,1,0.508962899674544,1,1,0.000666676452976222,1,1,1
"tismri_TIV",4.40869899411738e-163,0.123248701676135,0,2.89206433881184e-31,1,1.50289953732019e-17,1,9.63819137720044e-09,7.38365426213778e-06,0.308014700894076,9.63819137720044e-09,5.72472472997059e-10,1,1,1,8.25843041401307e-09,0.100184231518751,0.00332079968975083,0.0182011921932273,1,5.86770145890566e-19,0.00112158177649615,1,1,0.651165640389961,2.29053746559968e-05,0.363344539723238,3.9323920706777e-07,6.59096173707856e-16,1,1.23470407024235e-89,3.09774134616083e-125,8.36005841569056e-28,4.59014337378696e-05,2.8523273687901e-59,1.36560257786216e-12,1,5.85411763614337e-09,1,2.05248818965844e-16,1,1,6.86601134828412e-05,1.14811802995141e-34,1.33420281532751e-07,2.45230247944698e-54,6.38406678530652e-76,3.28341836629619e-08,1,1,1,1,0.0511434440676672
"tismri_volr01",1.41239126055215e-28,2.03672563135343e-68,2.49101148907135e-34,0,9.08101314845953e-13,1.25888586045255e-293,1,1,1,1,1,1,1,1,0.00852176874297814,1,1,0.00164032454459099,1,1.25526962649626e-11,0.0229984476681305,1,1,1,7.57814715446573e-14,1,0.136052934083196,1,1,1,0.00135628025370246,2.01307812712139e-10,9.64009229195827e-08,1,8.4280372814202e-20,1.35425133265711e-05,1,0.158991702444887,1,7.98655904461785e-08,1,0.000530311028043155,0.000498076682385587,5.85412373832931e-15,1,1.29637470581006e-05,2.02129187035859e-21,3.11906185396011e-09,1,1,1,0.332217684755821,1.52729819466039e-05
"tismri_volr02",0.00873623063640487,2.48642283799372e-19,0.345086836543546,8.66508888211788e-16,0,3.2209694662232e-135,0.000381005139398113,1,1,1,1,1,1,0.263723585888098,0.00529874758826507,1,1,3.69226866641984e-05,1,1,0.0117682608775752,1,1,1,3.30316859774713e-12,1,1,1,1,1,1,1,1,1,1,0.355143147223422,1,1,9.84631779534628e-06,0.131582679983983,1,1.96307361350939e-11,1,0.00933546977690016,1,1,0.133665531197529,0.113477108358665,1,1,1,1,1
"tismri_volr03",1.14032522956821e-21,5.28043735381047e-69,1.3600900790228e-20,9.27014624780967e-297,2.51049841482712e-138,0,1,1,1,1,1,1,1,1,0.000749856423638043,1,1,3.61225028726847e-06,1,4.82897859733776e-08,0.000391487051283331,1,1,1,1.04542266693788e-22,1,0.0412312145741123,1,1,1,0.0324590189121758,1.61658872332932e-07,5.62826324336277e-05,1,1.55115844904398e-14,1.83719926585099e-07,1,1,0.000487402555964904,8.29074680941528e-10,0.885008312805157,1.25032109001126e-11,0.00019624074644262,3.11337851562421e-15,1,0.0236245988817287,1.80620167073899e-18,8.15946286611021e-10,1,1,1,0.0114577940892512,8.76254279328692e-05
"classic_bone_med",0.0154022333912671,7.99709168050073e-15,0.122201011521107,0.425529298080978,4.44873283369247e-07,0.170297099337993,0,1.05703803843942e-232,7.17268488305074e-251,1.34911017110908e-168,1.05703803843942e-232,2.30017630546144e-186,3.53476632100125e-211,7.02364186242951e-239,3.76513407674757e-184,6.12039094240971e-190,1.29397175572496e-220,4.41235211963138e-181,5.34870262882034e-43,3.08573401538679e-19,8.094145761002e-17,1.318416558851e-49,3.87343272551515e-18,3.13917034829623e-12,0.0291805589945891,9.42254489977857e-42,4.36595034604524e-21,8.4282002019654e-92,1.9805150268464e-75,6.60616571517597e-29,1,0.0426716876350389,0.181201127184636,0.010298237069149,0.00594951181571609,2.09524152102683e-07,1,1,1,5.30901147998398e-08,0.147574835818591,0.0787933400305687,1,1,1,1,1,1,1,1,1,1,1
"main_sBMDH",2.01609444485079e-12,5.18780145511653e-10,9.86508841064528e-12,0.162262182579273,0.464833229717161,0.187186554339606,7.88246113675927e-236,0,0,9.97157988027794e-288,0,0,1.38673819495329e-240,1.27650867471573e-197,1.50325363777276e-154,0,1.39611888494862e-282,2.90416436514307e-141,6.19812637193889e-06,1,1,5.63237890348115e-09,1.58485617537975e-05,6.51358469065507e-06,1,2.82890467213856e-05,1.06284241577488e-06,7.68314767096187e-146,1.59940634233303e-131,4.0954472698612e-45,1.76795682548976e-08,1.83080379139791e-11,3.21219781419208e-10,0.00120615433449289,2.62970490323361e-13,3.12420968704595e-13,1,1,1,3.81706081793837e-15,1,1,0.72247470899157,0.49583474024373,1,0.00679369394908828,0.00801832689226076,1,1,1,1,1,1
"sROI_bonecortex01",8.10613941093855e-11,1.68364062135843e-15,8.08724453684313e-09,0.458226113629919,0.110524030266248,0.49965079015667,5.32493309803321e-254,0,0,0,0,0,3.71184916687853e-278,6.58786044726533e-272,1.79430852855541e-198,0,0,7.64342806431861e-141,9.96628938018313e-09,0.53164167055467,0.132957234712171,1.61965390162554e-13,5.47564833598351e-06,0.000248543707722597,1,7.44862934568586e-09,5.11307758557407e-07,1.59306272465834e-123,4.1735456382357e-121,3.85439826406213e-44,4.08658198431876e-07,2.13610787994133e-10,2.51895598232253e-07,0.00499349652571123,1.21016934856e-10,3.71403863144011e-11,1,1,1,3.24232397389571e-12,1,1,1,1,1,0.0020015980778645,0.570668559108708,1,1,1,1,1,1
"sROI_bonecortex02",5.6206836077984e-05,1.94082363181878e-14,0.000433823522386022,0.00300102590913045,0.09441429322253,0.0124392900525309,1.03064184194735e-171,7.34825341214292e-291,0,0,9.97157988027794e-288,0,1.28683660815926e-178,5.04991326048459e-203,4.18980374813377e-168,0,2.33867836148914e-204,7.9253657999098e-112,0.000254782891895778,1,0.661893870817879,3.41903698416174e-09,0.00710186423445701,0.00926120151843354,1,2.27801163730667e-05,0.0421846553074053,1.19591902086482e-93,9.27124524360687e-93,4.69750445940169e-37,0.0913168527270854,0.00183315201448678,0.000311148731455571,1,3.61815735166442e-06,3.4996743977762e-06,1,1,1,3.00645684897972e-06,1,1,1,1,1,1,1,1,1,1,1,1,1
