"","sex","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"sex",1,-0.0758084551616756,-0.653192021911374,-0.495779015870497,0.357266839968087,0.684906288815145,-0.150196680127956,-0.111786617696698,-0.613225979707349,-0.231118047117813,-0.0238884566822213,0.340567002328934,0.0828824288462334,-0.295987240652952,-0.723914463254094,-0.0786213895743922,-0.193747311251937,0.219960223027027,-0.219960223027027,0.0203031114233429,0.117582067321343,-0.182388516276216,-0.0134130088846224,0.15653245062861,0.0402875247076602,-0.135252469752542,-0.0316411221564719,0.248092175103085,0.0509951232025423,-0.413038917085606,-0.181280010752373,-0.606235422643335,-0.256780139350279,0.0121832518741145,-0.264518935559206,-0.0669992238429885,-0.2970607300203,0.0976357540121764,-0.501589804677307,-0.0309175902273655,0.0244145908046752,-0.0277343024514287,-0.0416467093727652,-0.105387062488771
"age",-0.0758084551616756,1,-0.0813857728949562,0.0984701969892783,-0.0344125688780616,-0.0188045464448983,0.0296002710097618,-0.105733299695293,-0.0717972928902123,-0.133634312503842,-0.150092800764242,-0.513655543267677,-0.27895615571699,0.515582533438346,0.0487715401840819,0.219616281699672,0.223012436240021,0.194840008609653,-0.194840008609653,0.100081358606988,-0.033535660395145,0.147227386070558,0.0647333391823419,0.118614545622285,0.158932178611834,0.247515968849362,0.0696199145058898,0.10543329996109,0.129898090209036,0.00826169254191983,-0.0937835330134503,0.0294242230156732,-0.056316696535906,0.0202837216386246,0.0662178105073934,-0.00649028908690035,-0.0523287994575763,0.0529376878015472,0.0738743482517501,-0.00131505959822207,0.166850482116398,-0.0385640845814788,0.0523399270289666,0.0945662260329005
"sit_height",-0.653192021911374,-0.0813857728949562,1,0.387646812647913,-0.155952923393156,-0.435337056440508,0.0731262862490063,0.16095497468239,0.481777468630762,0.256017190064264,0.116591837257141,-0.150922331682416,-0.0229503011971349,0.129096788365813,0.584636971895884,0.026055313655776,0.0894666292223472,-0.210385981659657,0.210385981659657,0.0230654828835688,-0.0290201629595314,0.165611903072604,0.0670705418341729,-0.102901128604478,-0.00181847396822584,0.108793845343591,0.0883494476670255,-0.208823660305423,-0.0044931528707198,0.290998238185604,0.227441489100321,0.423783019575937,0.265227116780072,-0.0764374086887516,0.135238151713193,0.0139719020218166,0.293134369927147,-0.130965292997991,0.387965937067366,-0.0282228226043968,-0.0421404433522793,0.0279298303189647,0.0165486933354634,0.106879036440309
"VAT",-0.495779015870497,0.0984701969892783,0.387646812647913,1,0.425248909282123,0.138164269255092,0.644325349129591,0.0724858175302219,0.44873728623804,0.286677531837727,0.185130146462489,-0.268660306667224,-0.138063432223022,0.270827265444308,0.390300368496676,0.0679989987177605,0.257414265720336,-0.106850135417473,0.106850135417473,0.108209915247327,0.029011723361673,0.250641822191885,0.0815801854539589,-0.00366761203070563,0.0372029864396463,0.185551603497655,0.0792162081080183,-0.0588463730252423,0.574263851816167,0.559061049281896,0.498784728638898,0.649561566791837,0.501432308039731,0.0014916495677237,0.203893593622082,-0.0176882582719708,0.52077403045815,-0.0612511470886815,0.85583792414021,-0.0859981200962575,-0.0679180340436298,-0.0558932849509736,0.191738723848502,0.0336957416120027
"ASAT",0.357266839968087,-0.0344125688780616,-0.155952923393156,0.425248909282123,1,0.835359527183958,0.63718857960801,0.0355597629465937,-0.046653186332701,0.125407999289119,0.203716076771818,0.0532700604758737,-0.0334881710365028,-0.0201144562086462,-0.20107418469352,-0.0562344626082604,0.0408003317379557,0.0259193005287228,-0.0259193005287228,0.129864793721409,0.136689216350975,0.0985570899488718,0.0805523901105051,0.121853071550967,0.0737465989413133,0.0744093737940085,0.0645030039212563,0.134114991794721,0.621727231092209,0.217518764569891,0.361505122801223,0.148133908355533,0.326899340436093,-0.0156401983909279,-0.0409858082153825,-0.0570449207562684,0.301591799877757,-0.00305693713947444,0.466384472080118,-0.133738194432292,-0.0431511512888272,-0.0818276211982207,0.129171961890395,-0.118054905774832
"fat_percent",0.684906288815145,-0.0188045464448983,-0.435337056440508,0.138164269255092,0.835359527183958,1,0.39642313549827,-0.0434847349550104,-0.312714091748055,-0.0280973732600291,0.122379914069005,0.178072125123016,-0.00117346905717685,-0.131462455660201,-0.475017743308239,-0.0509603567852892,-0.030862678180223,0.140300627603868,-0.140300627603868,0.127604971224658,0.174013137551685,0.015515193207647,0.0634698874513082,0.174002541548297,0.0987388012835317,0.00516336936513247,0.0414895224048681,0.242095119318085,0.499243571052163,-0.0239698618570695,0.168097017510809,-0.156237883793787,0.103852752414411,0.00830361985511252,-0.126908224550385,-0.0622465024022361,0.067877146709756,0.0597561555206835,0.129740345060265,-0.109954112105927,-0.0187300327128338,-0.0817323810670237,0.106506063766652,-0.107553499535054
"BMI",-0.150196680127956,0.0296002710097618,0.0731262862490063,0.644325349129591,0.63718857960801,0.39642313549827,1,0.132388804194278,0.339899117075497,0.331154292739075,0.300947249618718,-0.183148073648104,-0.0683614483574618,0.170756088883635,0.174524323745837,-0.068543064241495,0.111017158744375,-0.0992754020648848,0.0992754020648848,0.127663820320395,0.0881106721426624,0.212906112117904,0.0799276845131256,0.0732162759389839,0.030106387395508,0.120235516798683,0.0703207497206197,0.019416568016553,0.526553242933764,0.472523647463661,0.45485299756096,0.50192063822662,0.438950294499516,0.0187095112124452,0.153223645305834,-0.0177606225917926,0.439742216410745,-0.0321431198725817,0.72436900112062,-0.0717842284384213,-0.0613918300380488,-0.00887675220612853,0.171414848150136,-0.110368067540185
"BMD_head",-0.111786617696698,-0.105733299695293,0.16095497468239,0.0724858175302219,0.0355597629465937,-0.0434847349550104,0.132388804194278,1,0.633348451849132,0.731623073182027,0.421288391399313,-0.0550165878717807,-0.0334578201998291,0.0682569498134322,0.195907203196698,-0.515588137790766,-0.453474055205454,-0.701440843621243,0.701440843621243,0.284334534042664,0.312964552192468,0.367572080448135,0.244386959449142,0.0262111129632799,0.123393944869582,0.161026792113133,0.2804177494966,-0.0441088510049336,-0.00433195534836231,0.138641554207821,0.159498221594998,0.205479191958631,0.228567418081379,-0.128715916052723,0.0381882216775623,-0.0257429997469767,0.229658869127378,-0.184829081482928,0.131368058369651,-0.0272972584728816,-0.0502774642857051,0.021000669598249,-0.021843585644977,-0.0483297342418542
"BMD_total",-0.613225979707349,-0.0717972928902123,0.481777468630762,0.44873728623804,-0.046653186332701,-0.312714091748055,0.339899117075497,0.633348451849132,1,0.90041487732359,0.599524878114901,-0.191701421064696,-0.0345893682434804,0.169183880089815,0.533622648429592,-0.386222874609354,-0.241343336168117,-0.642167834773655,0.642167834773655,0.10886195429246,0.0857072969067099,0.265407034905005,0.0775617113788398,-0.0594545095188696,0.0238279729724906,0.148963618648835,0.109880309769538,-0.144016509570293,0.0584772420184928,0.428679576972429,0.276807580854914,0.558906408733916,0.361748546964934,-0.00151256559424414,0.189084327891364,0.0365196258343324,0.381260360135982,-0.105622831108385,0.487330105907967,-0.0159855584931771,-0.0364524616959284,0.0645027282682563,0.0618539476017512,0.0420858411954622
"T_BMD_total",-0.231118047117813,-0.133634312503842,0.256017190064264,0.286677531837727,0.125407999289119,-0.0280973732600291,0.331154292739075,0.731623073182027,0.90041487732359,1,0.731577311577312,-0.0579181796497323,0.00136500017663428,0.051237191485176,0.276037722865836,-0.525262667397205,-0.404571781632374,-0.676278310585125,0.676278310585125,0.141072746922858,0.162826235084288,0.230101017907079,0.0836534861707745,0.00717594175719306,0.0569517368814069,0.111888265328847,0.11327339508926,-0.0541205388290259,0.100584910648264,0.309250769167054,0.250031897535152,0.366183208070155,0.314590196521838,-0.00149138554060126,0.0974524109141971,0.016539148787236,0.317771844164946,-0.088415123476105,0.330261371312305,-0.0218655431503451,-0.0300160225984007,0.0621228227908578,0.0481669953557371,-0.00503337235956491
