"","v_31_0_0","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"v_31_0_0",1,0.0758084551616756,0.723914463254094,-0.340567002328934,-0.0828824288462334,0.295987240652952,-0.0765982637836339,0.219960223027027,-0.20360271820932,-0.127025242221417,-0.219960223027027,-0.258006475350222,-0.0982904949116289,-0.0457019269763744,0.0791443976652635,-0.258089609977911,-0.131816102484838,0.193747311251937,-0.0203031114233429,-0.117582067321343,0.182388516276216,0.0134130088846224,-0.15653245062861,-0.0402875247076602,0.135252469752542,0.0316411221564719,-0.248092175103085,0.111786617696698,0.231118047117813,0.0238884566822213,0.653192021911374,0.73952590414847,0.413038917085606,0.181280010752373,0.606235422643335,0.256780139350279,-0.0121832518741145,0.264518935559206,0.0669992238429885,0.2970607300203,-0.0976357540121764,-0.0509951232025423,0.150130788025254,0.495779015870497,-0.357266839968087,-0.684906288815145,0.709216657537632,0.247341148758713,0.0309175902273655,-0.0244145908046752,0.0277343024514287,0.0416467093727652,0.105387062488771
"age",0.0758084551616756,1,0.0487715401840819,-0.513655543267677,-0.27895615571699,0.515582533438346,0.242268565665667,-0.194840008609653,0.248163008091873,0.238843277802939,0.194840008609653,0.252092779047086,0.246555412079674,0.245419017956404,0.284444546551276,0.233227803081264,0.244446528647674,0.223012436240021,0.100081358606988,-0.033535660395145,0.147227386070558,0.0647333391823419,0.118614545622285,0.158932178611834,0.247515968849362,0.0696199145058898,0.10543329996109,-0.105733299695293,-0.133634312503842,-0.150092800764242,-0.0813857728949562,-0.038000482672991,0.00826169254191983,-0.0937835330134503,0.0294242230156732,-0.056316696535906,0.0202837216386246,0.0662178105073934,-0.00649028908690035,-0.0523287994575763,0.0529376878015472,0.129898090209036,0.0152812581406984,0.0984701969892783,-0.0344125688780616,-0.0188045464448983,0.106599830062909,0.100020237482994,-0.00131505959822207,0.166850482116398,-0.0385640845814788,0.0523399270289666,0.0945662260329005
"tismri_TIV",0.723914463254094,0.0487715401840819,1,-0.372818064654269,-0.02988773733186,0.288291727161438,-0.0489081078041514,0.213091344872548,-0.181073872729055,-0.111062549381756,-0.213091344872548,-0.225240084594829,-0.0972392317855455,-0.0379299896021381,0.0610716652406836,-0.213774445308407,-0.120366741004471,0.145088937794274,0.133334733934856,0.0106272083286041,0.29834603914184,0.152125696796862,-0.00215384033476293,0.034040922491869,0.104311865019839,0.174977833576238,-0.109632203499102,0.195907203196698,0.276037722865836,0.0944583467417218,0.584636971895884,0.664376488224068,0.353848594833328,0.171128169096628,0.492977739767072,0.249110640057279,-0.00145339950572189,0.215286549161707,0.071053314332274,0.279882588637658,-0.040994093609005,-0.0313428129796114,0.168856276053341,0.390300368496676,-0.20107418469352,-0.475017743308239,0.546704688959315,0.207582782440052,-0.038230191165813,-0.0661480635061909,0.0520891090517975,0.0402811515705397,0.125635648062727
"tismri_volr01",-0.340567002328934,-0.513655543267677,-0.372818064654269,1,0.250629598976924,-0.862013093080073,0.0252266328888422,-0.044226635050984,-0.0234829936133909,-0.0937552776726059,0.044226635050984,-0.0283867036143329,0.024615204347169,-0.065025821873653,-0.138724706121691,-0.0325218435980933,0.0337874250451411,-0.149693349326884,0.0635967838408462,0.240640082787156,-0.131662788370807,0.068443415721621,0.00654229878949169,-0.0383565616998233,-0.259709719690124,0.0643351569986444,0.11784903016968,-0.0550165878717807,-0.0579181796497323,0.0266591784058097,-0.150922331682416,-0.229571895191237,-0.202592605552938,-0.0324945130066725,-0.304170653153374,-0.177834821473839,0.0134690270365532,-0.11657052609708,0.0803508544646243,-0.203473241829587,0.0639379582181981,-0.156803427453487,-0.157194029404645,-0.268660306667224,0.0532700604758737,0.178072125123016,-0.315009663696531,-0.218039184613281,-0.00197033890052001,-0.0491793955182376,0.00925465684663132,-0.110419558615947,-0.177190129800655
"tismri_volr02",-0.0828824288462334,-0.27895615571699,-0.02988773733186,0.250629598976924,1,-0.683021845460591,-0.15883735765951,0.0231392962588715,-0.0504959214014398,-0.0529200597045246,-0.0231392962588715,-0.0476169641808391,-0.0341954299672678,-0.112405712962693,-0.141996195652127,-0.0359704103200905,-0.0410097486104234,-0.172342191672959,-0.0488165489957633,0.0525037508875237,-0.136419325483426,-0.0637417058736552,-0.018479584117074,-0.0642732102715118,-0.245766075008617,-0.0501556194152151,0.0595844868040053,-0.0334578201998291,0.00136500017663428,0.0421542047480384,-0.0229503011971349,-0.0444627877862629,-0.0306149359104425,-0.00845975714334586,-0.0672799442587179,-0.109836209270171,0.0721269077548853,-0.0317094929612934,0.17955164616558,-0.11816624931148,0.0922500465390304,-0.238887427864637,-0.088981151381596,-0.138063432223022,-0.0334881710365028,-0.00117346905717685,-0.117999397684218,-0.119389150853182,0.0359824709379493,0.00252075606757284,0.0736341705307829,-0.0938307791150002,-0.0800046280540919
"tismri_volr03",0.295987240652952,0.515582533438346,0.288291727161438,-0.862013093080073,-0.683021845460591,1,0.0433965741895692,0.0417428213625614,0.021370908453088,0.079014174017179,-0.0417428213625614,0.0246792541048679,-0.0224130253187045,0.0810784015066368,0.154649780317282,0.0219793188714424,-0.0266161515328152,0.184841283585977,-0.0307272292370098,-0.205821006941477,0.15866624252978,-0.0279018695738836,-0.00645214556903231,0.0564107794423264,0.323301852555806,-0.0318728685267828,-0.127295065926863,0.0682569498134322,0.051237191485176,-0.0330841311522232,0.129096788365813,0.200159684283856,0.16998188004707,0.0359776445696141,0.265296889835589,0.199552838731894,-0.0542615963287211,0.0961972867751155,-0.157337949272303,0.223689878368889,-0.101323374502078,0.240659091124415,0.162805698827112,0.270827265444308,-0.0201144562086462,-0.131462455660201,0.294903321042054,0.223760759199795,-0.0254406571873693,0.0388945833258636,-0.0430626115149643,0.136620531028018,0.167475565475349
"classic_bone_med",-0.0765982637836339,0.242268565665667,-0.0489081078041514,0.0252266328888422,-0.15883735765951,0.0433965741895692,1,-0.81221417723114,0.828884151309143,0.736627239430452,0.81221417723114,0.760659508778913,0.790047077386292,0.818078130128606,0.757811464201592,0.765175226456207,0.800112120963261,0.753796995787412,0.429164681439241,0.300290784649233,0.282905186920415,0.456730741423045,0.292544138611305,0.245965439880286,0.129912810768747,0.423668920368388,0.312803336184087,-0.590198629810812,-0.545247626491804,-0.360030193714364,-0.092251209357571,-0.127013700189629,-0.11549139462632,-0.137377337347898,-0.141219320520509,-0.198927507718372,0.0514566662557565,0.0285713669427863,-0.00464079835084053,-0.205378600730614,0.117184562762248,0.12230346787354,-0.0235590438598288,0.0216831340657031,0.0367143303316231,0.0941036645207064,-0.00154903317407158,0.0243602532218604,0.00669410242994553,0.0257009343197724,-0.0236684120537103,0.0650815238350469,0.0529797499633058
"main_sBMDH",0.219960223027027,-0.194840008609653,0.213091344872548,-0.044226635050984,0.0231392962588715,0.0417428213625614,-0.81221417723114,1,-0.953427890191008,-0.857892248859357,-1,-0.904603286243815,-0.819660205686911,-0.774545499621885,-0.715550587880946,-0.906724140750004,-0.854187370823926,-0.693674066695276,-0.182016750990181,-0.0945665672202386,-0.072306765998797,-0.21546340480965,-0.176987234800139,-0.181748154908337,-0.027219691508735,-0.173818073527861,-0.191027812493909,0.701440843621243,0.676278310585125,0.438273381459006,0.210385981659657,0.239173974982723,0.227639824517179,0.15166749553778,0.255202547341633,0.254571078178693,-0.00967431331540106,0.090792014943981,0.037333996854167,0.270133044500169,-0.0670896869962899,-0.0585863260839615,0.103314821098769,0.106850135417473,-0.0259193005287228,-0.140300627603868,0.139153138153306,0.0680196894048209,0.00234946941689212,-0.00272990643476178,0.0127299635119515,-0.0299764785866308,-0.0478769826036649
"sROI_bonecortex01",-0.20360271820932,0.248163008091873,-0.181073872729055,-0.0234829936133909,-0.0504959214014398,0.021370908453088,0.828884151309143,-0.953427890191008,1,0.93564069620361,0.953427890191008,0.970433685394941,0.850917478463374,0.846161700165376,0.775558081279544,0.971772140747073,0.880648839915325,0.692947383122027,0.212934987815486,0.106185156810817,0.118062891648251,0.256970648352727,0.182674316928591,0.161411211413408,0.0312976413770065,0.214230953286777,0.194616202584914,-0.661039059688446,-0.656248481998169,-0.434116127885222,-0.195717283763383,-0.229322599953188,-0.198049749740737,-0.142396522678618,-0.231650054941022,-0.236379642911288,0.0234824123295334,-0.0433968294214979,-0.0131359571703635,-0.245839865529035,0.0695250583767731,0.094172039304332,-0.0745956791981706,-0.0719497997860543,0.0469862468400708,0.148413242141446,-0.105531692365062,-0.0316481517764396,0.00372257291113865,0.0123452605134249,-0.0167743105275795,0.0441028763643623,0.0584293965841344
"sROI_bonecortex02",-0.127025242221417,0.238843277802939,-0.111062549381756,-0.0937552776726059,-0.0529200597045246,0.079014174017179,0.736627239430452,-0.857892248859357,0.93564069620361,1,0.857892248859357,0.890483445301455,0.750515321302871,0.780876911550444,0.735921186798118,0.889635969674685,0.782408531548102,0.637014307784261,0.161259554248112,0.0412504067293005,0.104154956400884,0.217638547070936,0.139986596641654,0.13812629843739,0.0331474852683144,0.175013397493185,0.127117482786541,-0.594862938460196,-0.592627513304262,-0.401973169741459,-0.121123037826485,-0.148977419759821,-0.160066287368366,-0.0966009262752892,-0.184821951040872,-0.185013608843309,0.0172773648233995,-0.0362225931980403,-0.0182608347938684,-0.185807532566602,0.038312245805921,0.0773028282274776,-0.0676587870308335,-0.0455441784806988,0.0140315372830936,0.0806865231721288,-0.0573400992115445,-0.0204844838263149,0.00499161167354405,0.000948172811367307,-0.0198085882835397,0.0499254576448983,0.0883017908771602
