"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"age",1,-0.114392748564879,0.107047184970136,0.0188998270215712,0.0850659774462905,0.0223498365563688,-0.0170593293388867,-0.0506635719957742,-0.0507311526686023,-0.0570235985199672,-0.498712042119976,-0.273562164976228,0.5147825050578,0.0162641575475074,0.0697211070279018,0.105180669501459,0.0395577784473819,-0.0395577784473819,0.0747811771199016,-0.0405928192888437,0.107783404018899,0.00569265941584903,0.123116425793111,0.167737303925665,0.219342794676068,0.0371972316055409,0.113708883809045,0.158266875868312,-0.0145362710532955,-0.0962182338609262,0.00317259920309615,-0.0921740039100237,0.0126139564460823,0.0448646619147196,-0.0394040838786821,-0.080790488964954,0.0713844043608585,0.0783649571801878,0.0017981153428477,0.15864892634558,-0.106770654376291,-0.00664912013339548,0.0341729427378205
"sit_height",-0.114392748564879,1,0.149996682045388,0.136973945268311,-0.000995620403607707,-0.0190233444901713,0.15681770294086,0.151461059992987,0.151487494148857,0.0775030041642934,0.0644497089494879,0.00911089069345659,-0.0445361822898439,0.285664576964267,-0.0188771071110596,-0.0273638174729363,-0.0851161323234278,0.0851161323234278,0.0665967470889983,0.0715003304362937,0.0711996777919087,0.120289752610827,-0.0349261485578874,0.0577941655506872,0.0619392929526223,0.13644306679341,-0.104561096543377,0.0483600794628649,0.0724803745209341,0.198237442566535,0.0667856239391279,0.180886464795341,-0.0946476228488263,-0.030136705895385,-0.00592244483606935,0.179087200303112,-0.0992609748091571,0.142775217333221,-0.143503408668831,-0.019429552270208,-0.0106236491742566,-0.0057333834444039,0.0514595597027525
"VAT",0.107047184970136,0.149996682045388,1,0.731967351705489,0.78769186807635,0.661941624502537,-0.0424165727202841,0.182922081638976,0.18293574852391,0.192718092122837,-0.150447809524543,-0.125920258851128,0.176755756806742,0.0975325571525728,0.0847942804381491,0.296137253870898,0.0807723734914663,-0.0807723734914663,0.197576901726065,0.106739020258658,0.279634569650578,0.123280347915033,0.138072098798239,0.129845683429402,0.14285652571167,0.127540524771826,0.127027636499853,0.708120647994291,0.435939411458015,0.489045452764004,0.445173071428901,0.475113829468978,0.00593282430084834,0.0976327335604911,0.000494546013791368,0.474262568726388,-0.000480097954958873,0.791542765116904,-0.155708989321198,-0.0352494348182723,-0.115422081148079,0.146924834044664,-0.0661968166415109
"ASAT",0.0188998270215712,0.136973945268311,0.731967351705489,1,0.827168914259874,0.728060676496722,0.0294976568224024,0.182071138502798,0.182073237402223,0.164294781008349,-0.131890019230673,-0.0782702985268599,0.141060528038809,0.124037452057404,0.0532195409415668,0.270835493342181,0.0281663389171469,-0.0281663389171469,0.215965208875652,0.129171032085597,0.310062554106733,0.150945553518374,0.140145086851687,0.157988877872843,0.190968382289183,0.150718866665249,0.0720261276621544,0.653212853532495,0.428914112301899,0.499091644061378,0.463451557420417,0.499465301784211,-0.0309583995486061,0.0660300304590048,0.000161712662375065,0.492529872685227,-0.0541195496736755,0.839484257871218,-0.129071646935969,0.015644031852484,-0.0705159643310865,0.114627967257303,-0.0798383372182273
"fat_percent",0.0850659774462905,-0.000995620403607707,0.78769186807635,0.827168914259874,1,0.677311208234207,-0.049441852754588,0.108258311396529,0.10824495917989,0.124389597744101,-0.117994844993868,-0.0953803154078912,0.143946794238894,0.00766857869809954,0.10936197734512,0.300665531577264,0.0881143493142809,-0.0881143493142809,0.21788154820132,0.135534817985006,0.299585283718111,0.128245400914905,0.153272253210814,0.15535624314424,0.164443752004289,0.125591147855216,0.15637919991347,0.647744625796352,0.392847000111834,0.426188718465375,0.418214637853028,0.413609237915398,0.00334668999763812,0.0943576662673621,0.0105732946276557,0.403372068795526,0.0107706768744842,0.77230364066129,-0.111329223516681,0.0085138347343168,-0.0680407291623641,0.16119460866341,-0.0720627285983491
"BMI",0.0223498365563688,-0.0190233444901713,0.661941624502537,0.728060676496722,0.677311208234207,1,0.0635747977329941,0.285923835546664,0.285945224534833,0.30105111964017,-0.198743288327812,-0.0579267112799805,0.178705951539163,0.0813188233103117,-0.0334546938006116,0.217329870787914,0.0138944379999552,-0.0138944379999552,0.17183025586374,0.103957601983908,0.282370215788458,0.0735397344669289,0.149370616376765,0.114485320133395,0.16050360456392,0.0720024539221699,0.0787975672553329,0.567544769719135,0.461970926522249,0.468071560293943,0.484215767450147,0.472736765912799,0.0272228036641086,0.152240609623097,0.025175596380535,0.471031606976008,-0.0289716676894537,0.746951055036499,-0.118976183140621,-0.052921892980843,-0.0222622339138126,0.164308124071807,-0.080779449666483
"BMD_head",-0.0170593293388867,0.15681770294086,-0.0424165727202841,0.0294976568224024,-0.049441852754588,0.0635747977329941,1,0.656270304083166,0.656264304807563,0.367851352233842,-0.0425793200116123,0.00888891726263099,0.0424370940043633,0.142994738842703,-0.42882806216561,-0.343994544489916,-0.670727581346976,0.670727581346976,0.332743114844977,0.33511386896828,0.406447809583971,0.312952737854415,0.00787736083284001,0.203652229710149,0.180398200558816,0.334683139024119,-0.00979444082322942,-0.0522892003763086,0.0506827872458576,0.139633846749939,0.0793312670369194,0.210687934977782,-0.182179845836332,0.00285749956715825,-0.00186403954563208,0.212960322507577,-0.175333621750501,0.0138247580880538,-0.037030716980297,0.0146960538985248,0.0737747000221151,-0.0836407681776422,-0.0453852177740026
"BMD_total",-0.0506635719957742,0.151461059992987,0.182922081638976,0.182071138502798,0.108258311396529,0.285923835546664,0.656270304083166,1,0.999999543998146,0.754269455385224,-0.0333230572615367,0.0623532490862629,0.00472832098478615,0.112466620663278,-0.423920460047344,-0.306625111936459,-0.571582624716112,0.571582624716112,0.208731698031962,0.191746143411281,0.270628993962032,0.149693468329733,0.064062942089364,0.161971454758969,0.124131937298582,0.168664415185068,0.0361757845171076,0.0849216573844505,0.195063030385737,0.222464548606287,0.195394501025344,0.284374658448585,-0.0512884033082216,0.00555328674626252,0.0388758392354376,0.287960215129222,-0.0775572296744128,0.201984631378879,-0.0581240290555247,0.0166207937699898,0.0736128436727386,0.00376828203322429,-0.0353273809074272
"T_BMD_total",-0.0507311526686023,0.151487494148857,0.18293574852391,0.182073237402223,0.10824495917989,0.285945224534833,0.656264304807563,0.999999543998146,1,0.754320041280165,-0.0333316229216265,0.0624233492675734,0.00469798443490435,0.112460516541119,-0.423941933657929,-0.306647121948019,-0.57161090369159,0.57161090369159,0.208701034874742,0.191734753556996,0.270593070326156,0.14966408143214,0.0640320253487137,0.161954259025354,0.124086424170292,0.168626194881012,0.0361826939410841,0.0849381153730659,0.195090424454721,0.222517572814938,0.195407687010317,0.284390694038907,-0.0512655515229526,0.00553154225892605,0.0389119325816167,0.28797848247135,-0.0775228079517792,0.201982383662903,-0.0581107357391664,0.0166614999762864,0.0736260766680856,0.00375955728924994,-0.0353006293198399
"femur_BMD",-0.0570235985199672,0.0775030041642934,0.192718092122837,0.164294781008349,0.124389597744101,0.30105111964017,0.367851352233842,0.754269455385224,0.754320041280165,1,-0.0474498167325337,0.0578412734262008,0.0143412990123889,0.0340310809410697,-0.315495007021876,-0.189865148017356,-0.402186784406792,0.402186784406792,0.0840493123347189,0.0664198032140432,0.132420363106165,0.0255552080608073,0.0618912644774006,0.109788313597693,0.115315587402945,0.0372097079830966,0.00959595976565737,0.126299350129056,0.192299164887741,0.197798283411887,0.173164540970062,0.253152262836015,0.00211608856592652,0.0134636221776156,0.0410727572767753,0.251037722275418,-0.0509209569059306,0.200616882403513,-0.044558200369767,-0.000591446000092259,0.0135754805566187,0.0765429996848931,0.014282110638207
