"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"age",0,1,1,1,1,1,1,1,1,1,7.02729798112387e-30,3.63106499074718e-07,2.92893283911001e-32,1,1,1,1,1,1,1,1,1,1,0.10463453360912,0.000509830035052874,1,1,0.234666516255299,1,1,1,1,1,1,1,1,1,1,1,0.510606094663475,1,1,1
"sit_height",0.0104700588089937,0,0.457483517743248,1,1,1,0.264099864367005,0.408762153552485,0.4085441566109,1,1,1,1,5.65230310054858e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0053787708243138,1,0.0308392216712775,1,1,1,0.0366498015983675,1,0.795760418722633,1,1,1,1,1
"VAT",0.0166411896064904,0.000766304049821185,0,4.42071619933738e-82,6.92147053113864e-104,2.09390863364508e-61,1,0.0253872978166351,0.0253872978166351,0.0095497583012724,0.441540357531616,1,0.0456595020284556,1,1,1.05358630084831e-08,1,1,0.00575636874409275,1,1.4432901604388e-07,1,1,1,0.793410650361981,1,1,2.37363688205064e-74,1.05796715417806e-21,1.65885531637387e-28,8.4221658203744e-23,1.32764643904277e-26,1,1,1,1.72240655192494e-26,1,1.23541374166405e-105,0.418516919465234,1,1,0.580657088878551,1
"ASAT",0.673322197784702,0.00214313557345115,5.04647967960889e-85,0,8.63408927232215e-124,9.26630246956638e-81,1,0.0275233218790511,0.0275233218790511,0.141530222299194,1,1,0.903665047939061,1,1,5.44205063220126e-07,1,1,0.000753067281436071,1,1.00657871033788e-09,0.425177244086575,0.966775570711188,0.239976236823071,0.0113516606366003,0.432495814753124,1,3.24295787061813e-59,6.89416518789619e-21,6.20088126470744e-30,4.44128634381428e-25,5.4816294475204e-30,1,1,1,5.37129697161863e-29,1,4.61070804931028e-131,1,1,1,1,1
"fat_percent",0.0573257484093537,0.982282807040645,7.7944487963273e-107,9.67947227838806e-127,0,1.88931777216531e-65,1,1,1,1,1,1,0.732986972316788,1,1,4.98046038986636e-09,1,1,0.00060281028940375,1,5.95216943660238e-09,1,0.353777712479505,0.297694913897137,0.140043570357595,1,0.273747969561027,7.03287282244758e-58,5.30961187334663e-17,1.40768631205302e-20,1.09905347605348e-19,3.5076431983081e-19,1,1,1,4.36148152635394e-18,1,3.01875012639154e-97,1,1,1,0.18447729720804,1
"BMI",0.61808305931607,0.671311561264701,2.41790835293889e-64,1.0614321270981e-83,2.17412862159414e-68,0,1,5.43962683752589e-08,5.42852294237323e-08,4.67438763356621e-09,0.00510158203171334,1,0.0379730348431165,1,1,0.0006424369772526,1,1,0.0721585791791026,1,9.44919627908118e-08,1,0.479183083503249,1,0.19506369857466,1,1,4.82248004550286e-41,6.86880721869075e-25,1.12205510031499e-25,7.75474911428383e-28,2.74072497929898e-26,1,0.385013499555994,1,4.59998447939292e-26,1,2.22823566168261e-87,1,1,1,0.141530222299194,1
"BMD_head",0.703551179186127,0.000432242003873985,0.343885700783147,0.510486726559004,0.269826882410984,0.155766737974047,0,5.65735905675604e-60,5.67034963195029e-60,1.42755158531342e-14,1,1,1,0.786174550116205,7.04382292544257e-21,1.9127734240901e-12,1.09348589135602e-63,1.09348589135602e-63,1.6635873152291e-11,1.06288057219198e-11,2.06693911807572e-18,6.0879404192243e-10,1,0.00301868647709181,0.0323009709719001,1.15239241231797e-11,1,1,1,1,1,0.00138235964814341,0.0272767167099338,1,1,0.00106645731066917,0.0521821399091026,1,1,1,1,1,1
"BMD_total",0.258154965757768,0.000679006899588845,3.8752653018589e-05,4.2157774935113e-05,0.015444187433498,7.3211666723094e-11,6.5554566126953e-63,0,0,4.21404853634504e-90,1,1,1,1,2.53627351208246e-20,1.81594587609925e-09,8.81067404370922e-42,8.81067404370922e-42,0.00172151559523372,0.0105196488698536,5.59674422340735e-07,0.46823626857372,1,0.173102066057,1,0.0964262701607878,1,1,0.00747597888952108,0.000351689479034441,0.00724069165245063,6.90996406611766e-08,1,1,1,3.95054248660429e-08,1,0.00361507212351688,1,1,1,1,1
"T_BMD_total",0.257519668511489,0.000677519331029684,3.87001491107243e-05,4.21490380996189e-05,0.0154569607680423,7.2964018042651e-11,6.57813182360822e-63,0,0,4.0366138803197e-90,1,1,1,1,2.52531474780258e-20,1.8114928128816e-09,8.72609075335388e-42,8.72609075335388e-42,0.00172498163133817,0.0105196488698536,5.6190487707793e-07,0.468579319698616,1,0.173102066057,1,0.0966132748220501,1,1,0.00746550982221637,0.000349944705043556,0.00724069165245063,6.90186735756385e-08,1,1,1,3.9443147721308e-08,1,0.00361507212351688,1,1,1,1,1
"femur_BMD",0.203042532058073,0.0834005606729098,1.42960453611862e-05,0.000224563121863928,0.00534783389013046,6.1994530949154e-12,1.81853705135468e-17,4.77783280764744e-93,4.57147664815368e-93,0,1,1,1,1,3.90029878690925e-10,0.0127010435597882,5.80207513237559e-18,5.80207513237559e-18,1,1,1,1,1,1,1,1,1,1,0.00994640734912113,0.00562985864676612,0.0637750674802104,6.81600462959208e-06,1,1,1,9.08396419520561e-06,1,0.00417188788826693,1,1,1,1,1
