"","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"age",0,1,9.968760465382e-30,5.22893146487707e-07,4.15516070237377e-32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.151851689498771,0.000734389318784914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.341888127747557,1,1,1,1,1,1,1,0.750383956684499,1,1,1
"tismri_TIV",0.716760735722519,0,0.000452429993282391,1,0.582245652226929,1,1,1,1,1,1,1,1,1,1,1,1,0.000288972316268438,1,1.03202053838725e-05,0.000200669127177955,0.159336768915092,1,1,3.22888697246496e-05,1,1,1,1,8.13901134721367e-08,1.44137550090709e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tismri_volr01",8.47683713042687e-33,4.47950488398407e-07,0,0.0319926850389124,3.15763646213506e-130,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0297671735789204,1,1,1,1,0.00040256601971075,1,1,1,1,1,1,1,1,1,0.16168896454404,1,1,1,1,1,1,0.066510203419159,0.28008054744726,0.646804938457685,1,1,1,0.217369141567273,1,1,1,1,1
"tismri_volr02",4.94695502826591e-10,0.655194227975436,3.35353092651073e-05,0,3.99514198676325e-61,7.83688218414103e-05,1,1,1,1,1,1,0.254395043080694,0.0380830887479157,1,1,0.000458895276876167,1,1,0.281612416204997,1,1,1,1.01099542819384e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000135480385360322,1,1,9.4416692281112e-06,1,1,1,1,1,1,1,1,1,1,1
"tismri_volr03",3.5035081807536e-35,0.000660142462842323,2.41779208433006e-133,3.22448909343281e-64,0,1,1,1,1,1,1,1,1,1,1,1,0.090006848182854,1,1,0.720579623692,1,1,1,1.05846273686307e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000596025150042806,1,1,6.43764197752639e-07,0.272154316890431,0.066510203419159,1,1,1,0.0624463672236485,1,1,1,1,1
"classic_bone_med",0.00656812634766549,0.225143998006977,0.566812330357577,7.62342624916442e-08,0.0483137475298228,0,1.22838246184193e-86,3.77058165847412e-95,9.29659727020811e-51,1.22838246184193e-86,3.16598453287016e-61,5.68060508641334e-87,2.15800183585322e-105,1.73965571146129e-74,4.15615713581967e-67,4.85285147906865e-82,8.30207595305146e-74,7.13664106151787e-24,4.80601564034331e-14,1.96099152719081e-09,1.03777001539683e-23,2.10931243218228e-09,0.0103853627933131,1,4.4494050155675e-22,2.04067659151263e-12,2.64870085782157e-30,1.91463551610351e-19,3.07333978332144e-08,1,1,1,1,1,0.26762880720616,1,1,1,0.261027908997419,0.337047229618571,2.91737796710075e-05,1,0.151851689498771,1,0.0181732238983169,0.06207727317022,0.0731592034948035,1,1,1,1,1
"main_sBMDH",0.377414357060536,0.484372335655463,0.634154598876903,0.0268883714941307,0.748046680307889,9.65709482580132e-90,0,2.79066339731907e-209,5.71694032524439e-100,0,3.45287556581745e-133,3.57480614087251e-101,3.59507861908511e-79,1.40636573839561e-66,1.58401796710762e-134,1.92563525558186e-107,1.66853572914962e-65,1,1,1,1,1,1,1,1,1,1.56842158379983e-63,1.23953656637748e-41,8.34505012742182e-18,1,1,1,1,1,0.000218294381200678,1,1,1,0.000103856508522355,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex01",0.0186644850704595,0.921847569844927,0.172542965701144,0.0119157592942282,0.0736182389626649,2.94346733682601e-98,2.11413893736293e-212,0,2.20742867895031e-177,2.79066339731907e-209,6.35091110654954e-249,3.3326676582305e-121,1.73451525767674e-115,4.33442250707231e-85,4.08209154924203e-255,1.50957514237098e-122,3.69174362039392e-58,1,1,1,0.0286198120498853,1,1,1,0.617422287809645,1,1.73210479240685e-53,2.32507712885865e-36,4.47127321078547e-15,1,1,1,1,1,1.10814917707072e-05,1,1,1,2.4118732017206e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex02",0.0235333575663559,0.511714528946648,0.00606293751419963,0.0312381144041495,0.00729730688949421,7.62641285496974e-54,4.45244573617164e-103,1.67865298779492e-180,0,5.71694032524439e-100,3.38759611099301e-127,1.82210573037374e-66,1.03079015499111e-72,2.35924894408267e-60,7.91940195176768e-124,1.14591195034898e-68,2.83186541797898e-31,1,1,1,1,1,1,1,1,1,3.83239461066976e-34,9.77268740687737e-24,1.68602799453515e-09,1,1,1,1,1,0.000195412022880378,1,1,1,0.000414637541776927,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex03",0.377414357060536,0.484372335655463,0.634154598876903,0.0268883714941307,0.748046680307889,9.65709482580132e-90,0,2.11413893736293e-212,4.45244573617164e-103,0,3.45287556581745e-133,3.57480614087251e-101,3.59507861908511e-79,1.40636573839561e-66,1.58401796710762e-134,1.92563525558186e-107,1.66853572914962e-65,1,1,1,1,1,1,1,1,1,1.56842158379983e-63,1.23953656637748e-41,8.34505012742182e-18,1,1,1,1,1,0.000218294381200678,1,1,1,0.000103856508522355,1,1,1,1,1,1,1,1,1,1,1,1,1
