"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"age",1,-0.263765796866449,0.0561694649430728,-0.0360768150266036,0.000767663558316207,0.0175689742273784,-0.203478949818721,-0.257862819225445,-0.257117837375449,-0.245581370522702,-0.545677251919563,-0.270778078293472,0.517683418511878,-0.0244730038770031,0.349533012010248,0.32223125773089,0.351038697327581,-0.351038697327581,0.125913507202136,-0.0146282822368626,0.174493806483663,0.116138623939064,0.145867195993978,0.159169948541611,0.257754760602471,0.0960462005920922,0.139104859220872,0.116131230517099,-0.0390727030457119,-0.131883952161826,-0.0311143146453881,-0.0713133211952021,0.0205814136865958,0.0465208930641005,0.0180835521463044,-0.0774039449119836,0.0483464394317372,0.0279702948506889,-0.00657963779609381,0.177930101302883,0.032872957199341,0.104639942588103,0.135972885306254
"sit_height",-0.263765796866449,1,0.0455591388063883,0.080090704084138,0.0389867207966213,-0.0400428597218801,0.0945900328064852,0.147836098722394,0.14513935757441,0.187726637303905,0.158964672423325,0.102537740798666,-0.161221620683386,0.161997466075563,-0.04980959906695,-0.076020664198377,-0.105378383445565,0.105378383445565,0.0349638612721296,0.0689538599488138,0.0522637878361938,0.0378002781233244,0.0418527383083769,0.0214591284647624,-0.00653696840155209,0.0423266164456552,-0.0346162654730347,0.0134920503741297,-0.00875439583243671,0.086296746268928,0.0185744621600095,0.0874139635810345,-0.0794113298923883,-0.0467994850531401,-0.0566821809739055,0.0984309929229094,-0.0772705969906642,0.0284715436587214,0.0371715994187423,-0.0500666329620826,0.0506379978133425,-0.0204668404382253,0.0307550936262935
"VAT",0.0561694649430728,0.0455591388063883,1,0.808826582718169,0.806081899783747,0.669219895993538,0.0846859268086317,0.232282167427758,0.228452935294612,0.21339685870896,-0.105076954410671,-0.0954730940311844,0.135991177926692,-0.0128063555327747,-0.0434286640281507,0.0657125681983923,-0.0713818792249969,0.0713818792249969,0.0664452401331333,0.0706376207223006,0.0885586912380346,0.0470121091767273,0.0194431567721645,0.0190745595027641,0.139009178743805,0.0141091301296162,0.0227491684564747,0.685447816950721,0.452597261838385,0.445686807105042,0.563331349885257,0.414009985721142,0.0214656414687938,0.0796838246477104,-0.10684358450283,0.421425540044799,-0.0278544654233832,0.82780384869768,-0.0948892407897683,-0.0980944120067468,-0.0483108930875335,0.253746016271117,0.00310817627292659
"ASAT",-0.0360768150266036,0.080090704084138,0.808826582718169,1,0.892806202480124,0.798188436417609,0.131174399845785,0.295888036856087,0.287830271321085,0.292334993339973,-0.0220802110404048,-0.0575816306501343,0.0576615279533454,0.0570734762939052,-0.110262756328271,-0.0124124686288673,-0.134211461940907,0.134211461940907,0.0489736932977232,0.0763098983967819,0.0515209667393901,0.0412274609098436,0.00182242390203014,-0.0319263723028872,0.0525902747692674,0.0190825741622239,0.0213354659503249,0.643298418010247,0.449750839385419,0.448771721562636,0.549674657083012,0.44142843209086,-0.00998000935715888,0.0453367573470294,-0.0877369610535313,0.438707807889207,-0.0240612493999376,0.836650930811884,-0.126002619146019,-0.123562317467645,-0.0678916277888454,0.201680686972641,-0.0819271555740008
"fat_percent",0.000767663558316207,0.0389867207966213,0.806081899783747,0.892806202480124,1,0.745019762281624,0.119205420442151,0.263327112594959,0.257742844542339,0.250569603334118,-0.0210858138383641,-0.0596664183427776,0.0508421396365317,0.0764928122287695,-0.098341200178595,0.0093672698922531,-0.0967868272580775,0.0967868272580775,0.0776769749992158,0.109419614393719,0.0834144198306934,0.0588269813013085,0.0270045467802928,0.0138722300534653,0.0675442823374598,0.0371381041197821,0.0249802978076472,0.634746689331088,0.414243573263204,0.41687480516513,0.521709630589181,0.392954120509074,-0.000534448260236413,0.0424435572055692,-0.0748057309386558,0.392040801948331,-0.0388730909564776,0.822699788402005,-0.135208857409756,-0.117818855855896,-0.0878248907061826,0.217060604957498,-0.0348101482300795
"BMI",0.0175689742273784,-0.0400428597218801,0.669219895993538,0.798188436417609,0.745019762281624,1,0.157458670731661,0.323626391655483,0.316533890760991,0.29766732432403,-0.0899081504659882,-0.0527909771600298,0.095599974408617,0.0728762033382074,-0.124267517132544,-0.0246415052234105,-0.126505481129986,0.126505481129986,0.0954936886881971,0.112274629821784,0.108350034276897,0.0855171345533076,0.0471427903404691,-0.0247109155419223,0.0478365321407366,0.0615681117840367,0.035896152928435,0.52255157719621,0.438416505657217,0.4113624649209,0.542513405809894,0.379995880642133,0.0123457611166115,0.070637332577115,-0.0830508984749835,0.38223514129831,-0.00423167715580876,0.765757291368833,-0.0449439240295145,-0.0596041213996132,-0.0144381372543261,0.174073088145085,-0.177972701011095
"BMD_head",-0.203478949818721,0.0945900328064852,0.0846859268086317,0.131174399845785,0.119205420442151,0.157458670731661,1,0.792691662865052,0.793792442220788,0.468467437112967,0.00970490389398283,-0.0545733956102374,0.0333617063191101,0.167674514722247,-0.621011804285903,-0.61464910086378,-0.726235726387802,0.726235726387802,0.246486703187944,0.32326516361084,0.313979540202236,0.183920900097702,0.0770393758916826,0.0633350639805471,0.120435690209158,0.228027147471848,-0.0226850881847743,0.0484255163547126,0.149547780547709,0.157853716876743,0.244345714975751,0.220170763103545,-0.0595908563746898,0.0275676629322756,-0.0580305309075891,0.216695058382278,-0.171615770819419,0.142868889935937,-0.0204533247420368,-0.103936029257708,-0.0386491754298387,0.0316494779863504,-0.069557735944724
"BMD_total",-0.257862819225445,0.147836098722394,0.232282167427758,0.295888036856087,0.263327112594959,0.323626391655483,0.792691662865052,1,0.995208932490776,0.738126365650563,0.0798361632588711,-0.0218023350352857,-0.0324973662227355,0.187217754350696,-0.687123719557583,-0.616696435195037,-0.723843334701445,0.723843334701445,0.097223526561118,0.202169743495565,0.142586620567272,0.0280757943246346,0.0135295316381759,-0.0157289223131365,0.0453307507300125,0.0616059047734111,-0.0328639169204761,0.153217939050441,0.280687883170588,0.230665528165734,0.367922331840007,0.283254940606593,0.0517262660779379,0.0728745687452441,-0.0344034209164121,0.272914244406687,-0.0634775255274052,0.291230796916841,0.00591841369432572,-0.0671045567135501,0.0413542847561486,0.0793890945870818,-0.0276543740554004
"T_BMD_total",-0.257117837375449,0.14513935757441,0.228452935294612,0.287830271321085,0.257742844542339,0.316533890760991,0.793792442220788,0.995208932490776,1,0.73635337741351,0.083248646708484,-0.0169375836200372,-0.0383406339810553,0.186984075936304,-0.693645303979471,-0.622622495919401,-0.724553349663365,0.724553349663365,0.0953179835729889,0.199062580137832,0.136515304995793,0.0241809607238429,0.0192585475050631,-0.0128562772764132,0.0465237686104925,0.0574554673375945,-0.0369584758169349,0.146484280640323,0.27821546889339,0.227388345583913,0.365436855288391,0.276382252061706,0.0565870504967378,0.076314641258565,-0.0259326803531057,0.263901900274893,-0.0637020178657684,0.286809830301967,0.0112663429737853,-0.0620346167610634,0.0385768885502433,0.0713836781286179,-0.0293644736005462
"femur_BMD",-0.245581370522702,0.187726637303905,0.21339685870896,0.292334993339973,0.250569603334118,0.29766732432403,0.468467437112967,0.738126365650563,0.73635337741351,1,0.130285922031994,0.0258729158267393,-0.0915615089813293,0.169162852651411,-0.486299235987721,-0.415073071909837,-0.478061048872735,0.478061048872735,0.0349261464104064,0.129688950318476,0.0465149778744284,-0.00349450997803991,-0.0153516665648271,-0.0609042363871562,-0.00578541694671816,0.00856073906478725,-0.0139742989156446,0.131780738653985,0.229739735500204,0.197546906340016,0.305560644909491,0.215154689273608,0.0614136144980191,0.0168326113304453,-0.0294474464965247,0.195816360664628,-0.0158658402249212,0.266359291796974,-0.0255759649865469,-0.0404316461850838,0.0962974380892301,0.090877429061488,-0.0441255204272975
