"","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"age",1,-0.0244730038770031,-0.545677251919563,-0.270778078293472,0.517683418511878,0.358331394124277,-0.351038697327581,0.396612724568176,0.370911558819457,0.351038697327581,0.409585413922962,0.364401631432096,0.371826616879227,0.409557471405062,0.392653180441394,0.361136391236504,0.32223125773089,0.125913507202136,-0.0146282822368626,0.174493806483663,0.116138623939064,0.145867195993978,0.159169948541611,0.257754760602471,0.0960462005920922,0.139104859220872,-0.203478949818721,-0.257117837375449,-0.245581370522702,-0.263765796866449,-0.204634772497468,-0.0390727030457119,-0.131883952161826,-0.0311143146453881,-0.0713133211952021,0.0205814136865958,0.0465208930641005,0.0180835521463044,-0.0774039449119836,0.0483464394317372,0.116131230517099,0.00135533426706568,0.0561694649430728,-0.0360768150266036,0.000767663558316207,0.0622426929057485,0.0763054644527919,-0.00657963779609381,0.177930101302883,0.032872957199341,0.104639942588103,0.135972885306254
"tismri_TIV",-0.0244730038770031,1,-0.156910182625687,0.0652266626970287,0.0707547653212946,-0.0228473294210134,0.108727047440484,-0.0792305873469008,-0.0623200261850873,-0.108727047440484,-0.0958916842793431,-0.0594496146146548,-0.022418648739932,0.00279457272089545,-0.0736095262374272,-0.0624993084968618,-0.0302880804214619,0.195813604850635,0.154765693634659,0.215990724249342,0.172881043524174,0.135726348509455,0.0716076087419314,-0.00720780708006448,0.189851529631866,0.110471169746454,0.167674514722247,0.186984075936304,0.169162852651411,0.161997466075563,0.25539721572213,0.0680366770453491,0.0103766362459773,0.0647049339255726,0.0820474080661838,0.00462625917121805,0.0409271717086868,0.0368829164168557,0.0770046957150083,0.0566013491222613,-0.0168800187143783,0.0645527841545395,-0.0128063555327747,0.0570734762939052,0.0764928122287695,-0.0214094112714666,0.0155672573656601,-0.0352843556716853,-0.102332158989165,0.00675683273389447,0.0615111252041926,0.0396650151938536
"tismri_volr01",-0.545677251919563,-0.156910182625687,1,0.288567407971962,-0.856252904329084,-0.0330355566560981,0.0690680932060004,-0.138133889024672,-0.184940855252801,-0.0690680932060004,-0.161842062000483,-0.0333422406041551,-0.117568211129941,-0.163365912472536,-0.173644093202989,-0.0216823720713917,-0.0931640542832103,0.0828800438996348,0.240910111790762,-0.079818122786876,0.0907250379141994,-0.0519050327070936,-0.0264382150270215,-0.231030410011126,0.106413219971461,0.0583338833378061,0.00970490389398283,0.083248646708484,0.130285922031994,0.158964672423325,0.0622117005391624,-0.0787651792736087,0.0261707121537339,-0.101046198975913,-0.129464336393936,-0.00049905975692447,-0.0388678070001094,0.101390983104975,-0.152689974792742,0.044060487457788,-0.195317211168724,-0.0722414850356488,-0.105076954410671,-0.0220802110404048,-0.0210858138383641,-0.113962651273111,-0.132558874278875,-0.00104192626513759,-0.133765827728871,0.042572268896028,-0.151736906306127,-0.216363836216447
"tismri_volr02",-0.270778078293472,0.0652266626970287,0.288567407971962,1,-0.719278559066142,-0.105067665896946,-0.00598433840722032,-0.0380445011409504,-0.0488477821337133,0.00598433840722032,-0.0478951497098927,-0.00885920837956794,-0.0763158264854459,-0.092171119500182,-0.0461344547017604,-0.00975009726708605,-0.0915437726802493,-0.00956473997467051,0.0801011244862588,-0.0848388457753805,-0.0260814777922304,0.0204816559012267,-0.0058499839727282,-0.211821358295512,-0.00446502650711572,0.0141876407690494,-0.0545733956102374,-0.0169375836200372,0.0258729158267393,0.102537740798666,0.0669100615180621,-0.0449248266067969,-0.000137113328355751,-0.0844236796623137,-0.107223684771001,0.0681463960256671,-0.075411062674964,0.139174722924811,-0.121101907079014,0.0386083256986189,-0.235695904765746,-0.0789241368297494,-0.0954730940311844,-0.0575816306501343,-0.0596664183427776,-0.107241106548721,-0.0976295750262026,0.0120308635606116,-0.0312671459537957,0.105293121513931,-0.127443453887669,-0.122119557863563
"tismri_volr03",0.517683418511878,0.0707547653212946,-0.856252904329084,-0.719278559066142,1,0.0611074145528558,-0.02691224851044,0.0998002010208155,0.142341403222492,0.02691224851044,0.123356486929623,0.00760390177480808,0.0988295427822404,0.143104804037451,0.131228688302127,-0.000262465856159043,0.100103476699763,-0.0630551912266144,-0.214605080978356,0.0883098146162844,-0.0596813331224815,0.0209467196107596,0.021079484473744,0.277072244958253,-0.0814750190389653,-0.0617364558569305,0.0333617063191101,-0.0383406339810553,-0.0915615089813293,-0.161221620683386,-0.0699398101727576,0.0909252713796614,-0.00807456677788157,0.126938945735383,0.165041675916213,-0.0356172453534236,0.0655914676565774,-0.143800469030717,0.190103616601135,-0.0571755755293548,0.269442478694723,0.0972974473958639,0.135991177926692,0.0576615279533454,0.0508421396365317,0.141367948967752,0.149413790950441,-0.0124379183740804,0.11788666385604,-0.079477054603169,0.185641593877898,0.212572811222847
"classic_bone_med",0.358331394124277,-0.0228473294210134,-0.0330355566560981,-0.105067665896946,0.0611074145528558,1,-0.869733016771879,0.87955246415986,0.810500683919306,0.869733016771879,0.844675240145077,0.817932579163335,0.833192624638864,0.812057614869507,0.838820475100963,0.842474905359179,0.862397972240467,0.403389525503727,0.230711283438269,0.297556102768649,0.460320810807953,0.278742274214462,0.286254493809811,0.168718252054722,0.413625675407951,0.290476421334368,-0.654387670014348,-0.647818490298065,-0.416213566734663,-0.0611478985115399,-0.0941461357805201,-0.190158560527522,-0.179434172477933,-0.227295428097891,-0.223407926058561,-0.0569017308228299,0.00184431186414585,-0.00101242034125845,-0.233789232099174,0.0647403271602922,0.00736187699580143,-0.105497632629394,-0.034796837208839,-0.0941811535884422,-0.0622553335479767,-0.0158305333501729,-0.0502939450718957,0.024225824558036,0.0190164037418876,-0.00153091086971083,0.0255375544045731,0.0741750206469978
"main_sBMDH",-0.351038697327581,0.108727047440484,0.0690680932060004,-0.00598433840722032,-0.02691224851044,-0.869733016771879,1,-0.962212205641612,-0.897340388663667,-1,-0.925310508013439,-0.839599463962199,-0.824254655867363,-0.80761443561938,-0.92838485853901,-0.877864363001027,-0.858244143325204,-0.244648947770438,-0.0870869560594782,-0.181547497689932,-0.290188378256825,-0.208647950803226,-0.248026999160961,-0.107803989072941,-0.24420381831133,-0.190902076986256,0.726235726387802,0.724553349663365,0.478061048872735,0.105378383445565,0.106568920012669,0.209652084146394,0.148729308154818,0.244573528210358,0.217857557544701,0.0691273176903845,0.0714824859480631,0.0100959320182641,0.23084035600413,-0.0328972082213622,0.0158505620198937,0.147689520282697,0.0713818792249969,0.134211461940907,0.0967868272580775,0.0252559174585345,0.0700203293869224,-0.0100549944136043,-0.0203263597921926,-0.0293528884037716,0.018996670415611,-0.0954193513370626
"sROI_bonecortex01",0.396612724568176,-0.0792305873469008,-0.138133889024672,-0.0380445011409504,0.0998002010208155,0.87955246415986,-0.962212205641612,1,0.957788952659345,0.962212205641612,0.980250645152982,0.865058277927672,0.884113638078591,0.86523182278429,0.981043796706926,0.903407179217849,0.864715766445713,0.276273784228842,0.101996667392993,0.237880946834076,0.326654200052037,0.21401093013159,0.234683310646037,0.126594426487427,0.282364192991596,0.18624181671236,-0.680172454200222,-0.715127439118746,-0.490851543893205,-0.0929417073597819,-0.120732017755568,-0.168650959508684,-0.127651961326317,-0.2019333909688,-0.177454154994622,-0.0639717856642473,-0.035705388532426,-0.0021902976548322,-0.185414837758571,0.0244708924549967,0.0414798665025725,-0.10097156046918,-0.0242622349479332,-0.0881406264085127,-0.0632353870711127,0.00759104393946654,-0.0212504676745158,0.00808546729951308,0.0200509115388041,0.0279942115563412,0.00890314317239106,0.0917275720267238
"sROI_bonecortex02",0.370911558819457,-0.0623200261850873,-0.184940855252801,-0.0488477821337133,0.142341403222492,0.810500683919306,-0.897340388663667,0.957788952659345,1,0.897340388663667,0.930993888635053,0.786427379051086,0.834461659200636,0.822679515211938,0.932238879904849,0.824519532559226,0.817419321455359,0.244112640211676,0.0631996377519215,0.228785058374649,0.293137231325424,0.195275029817749,0.217748433320697,0.124265353444314,0.254826698318677,0.145447074000926,-0.629954219551687,-0.678461040071684,-0.477428065794348,-0.0447014901943464,-0.0816976777146962,-0.123579304464813,-0.0750389035864286,-0.159293888928854,-0.121710490789321,-0.0584573371126833,-0.0331571581356167,-0.0172669745992706,-0.120034173276391,0.00651756582438196,0.0757171947728998,-0.0715377393750391,-0.0010386287278381,-0.0542912698308774,-0.0475687215129458,0.0191069996671019,-0.00208830752987129,-0.00950887035860199,-0.00588795684869969,0.0354566317356354,0.0219840636723665,0.096942074362606
"sROI_bonecortex03",0.351038697327581,-0.108727047440484,-0.0690680932060004,0.00598433840722032,0.02691224851044,0.869733016771879,-1,0.962212205641612,0.897340388663667,1,0.925310508013439,0.839599463962199,0.824254655867363,0.80761443561938,0.92838485853901,0.877864363001027,0.858244143325204,0.244648947770438,0.0870869560594782,0.181547497689932,0.290188378256825,0.208647950803226,0.248026999160961,0.107803989072941,0.24420381831133,0.190902076986256,-0.726235726387802,-0.724553349663365,-0.478061048872735,-0.105378383445565,-0.106568920012669,-0.209652084146394,-0.148729308154818,-0.244573528210358,-0.217857557544701,-0.0691273176903845,-0.0714824859480631,-0.0100959320182641,-0.23084035600413,0.0328972082213622,-0.0158505620198937,-0.147689520282697,-0.0713818792249969,-0.134211461940907,-0.0967868272580775,-0.0252559174585345,-0.0700203293869224,0.0100549944136043,0.0203263597921926,0.0293528884037716,-0.018996670415611,0.0954193513370626
