"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"age",0,1.54180089001071e-06,1,1,1,1,0.00300484554715622,3.56660977838847e-06,3.94537317805983e-06,1.9035427184938e-05,3.2139735591159e-37,5.54138173523589e-07,1.03989174974908e-32,1,6.33393139743725e-13,1.16784720779379e-10,4.68769160855219e-13,4.68769160855219e-13,1,1,0.0561644877061307,1,0.649350598277407,0.221240100604472,3.61647920727131e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.136341738390333,1,1,1
"sit_height",2.10341185540342e-09,0,1,1,1,1,1,0.556754061964091,0.685998133667045,0.0155683754532349,0.224859046022631,1,0.18551443198184,0.173531250461472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"VAT",0.209902394331186,0.309290677125775,0,5.72198851913558e-114,1.36718850513601e-112,2.68603769032809e-63,1,0.000105345233056082,0.000168463813642723,0.0009992965966372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06101137113648e-67,1.03681651403531e-23,7.25278804728398e-23,2.74296463015538e-40,3.14015829790648e-19,1,1,1,4.79872782648943e-20,1,3.73696961162303e-124,1,1,1,6.31233044093268e-06,1
"ASAT",0.420851367867217,0.0735704697321407,6.48751532781812e-117,0,1.16442994363861e-171,9.56141007263984e-109,1,1.10361639557316e-08,4.04416828778465e-08,1.97096794612334e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.13277485697378e-57,2.32592829016021e-23,3.06325083446625e-23,6.73879008934292e-38,2.35261157790563e-22,1,1,1,4.95192318603594e-22,1,2.43940041690135e-129,1,1,1,0.00364393277831391,1
"fat_percent",0.98633887447931,0.384344995430879,1.55185982421795e-115,1.29958699066809e-174,0,1.12245374982385e-86,1,1.63832022689663e-06,3.61759173297427e-06,9.76678834529666e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.16040442077986e-55,2.96489222411688e-19,1.52990491082408e-19,2.4785574734771e-33,5.15202983861088e-17,1,1,1,6.3688455094344e-17,1,2.69817668840203e-121,1,1,1,0.000657390457871791,1
"BMI",0.695131224369334,0.371587911680649,3.1452431971055e-66,1.08652387189089e-111,1.28427202497008e-89,0,0.253644204263725,9.07659633890733e-11,3.25070298455711e-10,8.25675442623458e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.83367297113821e-33,5.35457696270135e-22,6.08046974367075e-19,1.09116769299398e-36,9.9519011540916e-16,1,1,1,6.02606221635507e-16,1,1.39182650430428e-94,1,1,1,0.0583551168681641,0.0403883274797661
"BMD_head",4.50501581282791e-06,0.0344686047553124,0.0584515817009547,0.00329789621075263,0.00762217961761294,0.000409103555264073,0,3.60956375890704e-106,1.11685360962017e-106,9.92439504967823e-26,1,1,1,0.104904820222363,9.98919345976402e-52,2.38820515831591e-50,3.7585118764866e-80,3.7585118764866e-80,1.69038750485914e-05,9.68384423029916e-11,5.1005052135386e-10,0.022666765607219,1,1,1,0.000177342780776323,1,1,0.487382341293555,0.24634840873935,2.22964527613454e-05,0.000457268137849567,1,1,1,0.000685270538782205,0.073272503202964,0.817111969741108,1,1,1,1,1
"BMD_total",4.8924688318086e-09,0.00091421028237125,1.49638115136481e-07,1.46368222224557e-11,2.24120414076146e-09,1.18031161754322e-13,4.11112045433603e-109,0,0,3.23873826445047e-84,1,1,1,0.0163693693280954,3.58883656140072e-68,8.67207319633442e-51,2.31937446824706e-79,2.31937446824706e-79,1,0.00345932197140911,0.834051079514451,1,1,1,1,1,1,0.36125737608266,1.23777476601938e-07,0.000128379162995139,1.40060571282451e-14,8.30572320098276e-08,1,1,1,4.0303372470756e-07,1,2.35419477351041e-08,1,1,1,1,1
"T_BMD_total",5.43439831688681e-09,0.00113575849944875,2.41698441381237e-07,5.40664209596878e-11,4.97605465333463e-09,4.24928494713348e-13,1.27059568785002e-109,0,0,1.34812675434964e-83,1,1,1,0.0167361338679274,4.91739875783194e-70,4.42343352876507e-52,1.35547612034338e-79,1.35547612034338e-79,1,0.00483427125701759,1,1,1,1,1,1,1,0.618974313402648,1.8105586786685e-07,0.000191649391680189,2.37876659679144e-14,2.387240109298e-07,1,1,1,1.51377192167631e-06,1,4.75160502959985e-08,1,1,1,1,1
"femur_BMD",2.6511737026376e-08,2.39145552277033e-05,1.46955381858412e-06,2.61748731224879e-11,1.34900391509622e-08,1.09072053186718e-11,1.2177171840096e-28,3.70989491918725e-87,1.54779191084918e-86,0,1,1,1,0.0916770907268344,3.97270593049665e-28,2.40918633893464e-19,5.31204431886375e-27,5.31204431886375e-27,1,1,1,1,1,1,1,1,1,1,0.000143939446724246,0.00568048820560809,2.19368880772669e-09,0.00081711565834804,1,1,1,0.00682031699421065,1,1.05989675341909e-06,1,1,1,1,1
"tismri_volr01",3.87692829808914e-40,0.000359199754029762,0.0187622786006863,0.622328579127561,0.638094024104642,0.0444897842753463,0.828621251064347,0.07449347043511,0.0628760431996666,0.00351788867067067,0,3.59946891555938e-08,5.0396431427538e-142,0.265445762817509,1,1,1,1,1,3.49253110414994e-05,1,1,1,1,0.000123159090523762,1,1,0.00716893636203809,1,1,1,1,1,1,1,0.37696957110446,1,1,1,1,1,0.407469887125478,0.000711407754885322
"tismri_volr02",7.508647337718e-10,0.0218409813974062,0.0328118830761801,0.198649578185759,0.182850547032884,0.238673286113831,0.223166256077913,0.626717153355959,0.705567987852469,0.563814754390672,4.80569948672814e-11,0,7.132644134513e-78,1,1,1,1,1,1,1,1,1,1,1,0.00119473292236449,1,1,6.84138385222478e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tismri_volr03",1.2604748481807e-35,0.000294935503945691,0.00230820467812406,0.198026321940742,0.256478674942418,0.0325795187651401,0.456676542146556,0.468429968045153,0.392279139107303,0.0407019128663546,5.66252038511663e-145,8.26494105969061e-81,0,1,0.965695546778486,1,1,1,1,0.000869871679022996,1,1,1,1,2.15144194251832e-07,1,1,6.74895818343838e-07,1,1,1,0.132938655265432,1,1,0.761738681482841,0.012243036617751,1,0.652865475320255,1,1,1,0.0191072086433851,0.00109742336112544
"tismri_TIV",0.58510366382402,0.000275446429303924,0.775143287189132,0.202647035888353,0.0875149910452589,0.103599618732994,0.0001654650161236,2.51836451201468e-05,2.57875714451887e-05,0.000144373371223361,0.000428829988396623,0.145278399830019,0.114073514331136,0,1,1,1,1,0.00682031699421065,0.317612008420772,0.000742127720815132,0.0651909989256033,1,1,1,0.0125456747567653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tis_bone",8.17281470637065e-16,0.266276201779439,0.332484723206921,0.0136286391402597,0.0278918312722521,0.00539345045413831,1.18355372746019e-54,4.19256607640271e-71,5.72456199980436e-73,4.83886227831504e-31,0.00228322845535927,0.0139995048891603,0.00162029454157464,0.262886034021443,0,1.05498246610851e-174,2.1733238368491e-150,2.1733238368491e-150,1.11200536098536e-11,0.253344784057263,7.47008584647014e-07,4.19503303465156e-18,0.000254759347312827,1.58243276723864e-06,0.00916070814833545,8.56303906946771e-14,0.0174003253151027,1,0.000381770295844858,0.00214648581897761,3.51849453313972e-05,0.000614345901485101,1,1,1,0.00028334564238377,1,1,1,1,1,1,1
"vROI_bonecortex03",1.52261695931394e-13,0.0894932179562078,0.14229819714198,0.781882059830344,0.834495970085439,0.582521594753929,2.83634816902127e-53,1.02871568165296e-53,5.2348325784202e-55,3.04190194309929e-22,0.037294208429177,0.0407410531290552,0.0251946952732233,0.499217165434887,1.17612315062264e-177,0,2.04104895449393e-143,2.04104895449393e-143,2.65366313878789e-13,0.00197905917304607,1.03808904414233e-08,1.08182373008819e-17,1.83887403471553e-05,5.05842068567778e-10,0.000167719221202809,4.51353703733298e-12,0.00318829177933116,1,0.285123023868827,1,0.188114744347326,1,0.944481404796283,1,1,1,1,1,1,1,1,1,1
