"","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"age",0,1,4.5708984634471e-37,7.84653646791531e-07,1.48231842146051e-32,1.49317628925965e-13,6.62430551633243e-13,3.09195403955587e-17,1.0414942224778e-14,6.62430551633243e-13,1.3476537017846e-18,4.18912264317641e-14,8.5458084553337e-15,1.35579848635382e-18,7.82016622176628e-17,8.32798769447771e-14,1.65356201781494e-10,1,1,0.0793323388849097,1,0.916162972817133,0.311438660060427,5.14652810265532e-06,1,1,0.004293280069625,5.61916785966097e-06,2.70684835039299e-05,2.18334150590875e-06,0.0037822784482668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.192431694057243,1,1,1
"tismri_TIV",0.58510366382402,0,0.375655069835442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00973004376027329,0.44887791141477,0.00105614662464467,0.0921665846879219,1,1,1,0.0178179368477986,1,0.147925724414499,0.0237761408724639,0.129502913987355,0.244596429221884,7.13929090026073e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tismri_volr01",3.87692829808914e-40,0.000428829988396623,0,5.09884715541855e-08,7.28200121525998e-142,1,1,1,0.0290874521053286,1,0.247695693214529,1,1,0.216892800020549,0.0858738796333458,1,1,1,4.98018187065668e-05,1,1,1,1,0.00017484035895123,1,1,1,1,1,0.316454983300221,1,1,1,1,1,1,1,1,0.533886986068268,1,0.0102257969352288,1,1,1,1,1,1,1,1,1,0.575368716836791,0.00101302800183963
"tismri_volr02",7.508647337718e-10,0.145278399830019,4.80569948672814e-11,0,1.01576125623598e-77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00170046794997306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.71941643595107e-05,1,1,1,1,1,1,1,1,1,1,1
"tismri_volr03",1.2604748481807e-35,0.114073514331136,5.66252038511663e-145,8.26494105969061e-81,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00123902427114876,1,1,1,1,3.04569851241798e-07,1,1,1,1,1,0.261312856495882,1,1,1,1,0.18754221035076,1,1,1,0.0173989861887794,1,9.55110364359054e-07,1,1,1,1,1,0.694532727001802,1,1,1,0.0271694466026497,0.00156128271995166
"classic_bone_med",1.35496940949151e-16,0.610282902488816,0.46109205081208,0.0187728124310962,0.172486202677774,0,9.84592247939142e-152,1.20626706727553e-159,1.14843371284531e-114,9.84592247939142e-152,3.69222262852964e-134,1.4941749180273e-118,4.05101488370728e-127,1.82150741764567e-115,1.68157210444793e-130,9.12358020364659e-133,3.11404045106458e-146,6.11853764429226e-18,0.000181437817677319,1.18768573262166e-08,1.58411760242653e-24,2.36406604265233e-07,7.35026304646857e-08,0.13475264657141,4.92901466973771e-19,3.76256540760285e-08,2.33896836107216e-59,9.51812004064936e-58,2.57704928206989e-19,1,1,0.0173194165299706,0.0495741959631495,0.000275310791017073,0.000442121016816905,1,1,1,0.000123621141277922,1,1,1,1,1,1,1,1,1,1,1,1,1
"main_sBMDH",6.0330651332718e-16,0.0150016040656427,0.122979732541818,0.893813661902195,0.548253848557543,7.59130491857473e-155,0,2.21452169931915e-280,6.49464541976634e-176,0,9.68850551940985e-209,5.59611026414267e-131,5.31823235687232e-122,3.32683551248293e-113,4.09842748892103e-213,3.08921416476823e-158,2.94945302953215e-143,3.06326735325139e-05,1,0.0404853379301538,3.93767608009555e-08,0.0024310317855751,1.95857558482444e-05,1,3.23461159115463e-05,0.0160914981938247,5.33284826663748e-80,1.92455721354406e-79,7.57290220579478e-27,1,1,0.00217629875574418,0.732809068848596,3.08817963429414e-05,0.000854006787561699,1,1,1,0.000178882555916768,1,1,0.794698119464885,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex01",2.77056813580275e-20,0.0767273208865518,0.00196222798770292,0.395948598061419,0.025642154576056,9.26472401901332e-163,1.67512987845624e-283,0,1.18342749643168e-268,2.21452169931915e-280,0,3.43711444745283e-148,1.46898563553975e-163,2.55470360205266e-148,0,3.70081650671457e-182,6.17022815619892e-148,3.43393353619422e-07,1,7.36309190524108e-05,7.35587092281296e-11,0.00132484238575046,0.000110530768131956,1,1.35207098077756e-07,0.025602220990376,4.39188182417911e-66,2.16223562567922e-76,1.30941418215283e-28,1,1,0.135435910258325,1,0.00507140245411844,0.0599860288829735,1,1,1,0.0277659917948765,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex02",9.3997673508827e-18,0.164109299476794,3.16856776746499e-05,0.275630919355293,0.00141708888463487,9.12179279464103e-118,4.97292911161282e-179,8.96535982145209e-272,0,6.49464541976634e-176,5.56413822630807e-217,3.57510525503915e-103,7.18183226516878e-128,3.95721677685088e-121,7.01474872229653e-219,3.78935413025842e-122,2.8068226399996e-118,3.26767030464762e-05,1,0.000230306335536284,2.44877994857148e-08,0.0102606063224531,0.000863319849741223,1,7.72364748635794e-06,0.945282019368429,1.44676977289268e-53,1.28910792580463e-65,9.20090088968099e-27,1,1,1,1,0.308582299082096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex03",6.0330651332718e-16,0.0150016040656427,0.122979732541818,0.893813661902195,0.548253848557543,7.59130491857473e-155,0,1.67512987845624e-283,4.97292911161282e-179,0,9.68850551940985e-209,5.59611026414267e-131,5.31823235687232e-122,3.32683551248293e-113,4.09842748892103e-213,3.08921416476823e-158,2.94945302953215e-143,3.06326735325139e-05,1,0.0404853379301538,3.93767608009555e-08,0.0024310317855751,1.95857558482444e-05,1,3.23461159115463e-05,0.0160914981938247,5.33284826663748e-80,1.92455721354406e-79,7.57290220579478e-27,1,1,0.00217629875574418,0.732809068848596,3.08817963429414e-05,0.000854006787561699,1,1,1,0.000178882555916768,1,1,0.794698119464885,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex04",1.19791440158631e-21,0.0320506150676959,0.000279251063376019,0.285114230243294,0.00574507536497895,2.87780407523744e-137,7.39580574000752e-212,0,4.2312838222875e-220,7.39580574000752e-212,0,6.45509213730087e-113,1.74340793145853e-131,1.63206196916105e-125,0,6.84016104727241e-143,5.94755289825974e-127,1.29913418654476e-05,1,0.000647723039418215,1.07565897680135e-08,0.000585065677470737,6.81970877772875e-05,1,5.68394231236068e-06,0.377549729395284,6.30111979429503e-60,3.6192655969956e-74,7.50470601719632e-30,1,1,0.0196964691661358,1,0.00102858673132692,0.061432371368788,1,1,1,0.0378968436389492,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex05",3.79449514780472e-17,0.184448919141922,0.456939408046798,0.843353352445599,0.865320551141937,1.18210040983172e-121,4.37537940902476e-134,2.65824783252346e-151,2.87157048597522e-106,4.37537940902476e-134,5.15582439081539e-116,0,5.90741889978971e-114,1.42423744738935e-102,3.8700430242816e-116,2.02356201931254e-223,8.01006874688538e-92,1.40544362207095e-09,0.418902057253231,1.39808731824246e-06,1.96914207061015e-12,1,0.000804055185569712,1,2.19940371062703e-09,9.19050287581159e-07,1.75030286584889e-44,3.21463373652058e-45,6.17426093354009e-18,1,1,1,1,1,0.0487828918507512,1,1,1,0.00752062876917674,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex06",7.70586876044518e-18,0.617001569522481,0.00850196421474776,0.0882523723771053,0.0271206505188553,3.17976050526474e-130,4.19749988703419e-125,1.12738728744417e-166,5.63280961974022e-131,4.19749988703419e-125,1.36203744645198e-134,4.70335899664786e-117,0,4.53033381876119e-155,5.95962746859013e-132,3.73386581002667e-125,1.0475551892877e-102,4.55086079845693e-18,0.000262589864425867,2.02605270541063e-14,3.77257944048827e-24,1.00109851424192e-06,1,1,8.25971472182435e-20,1.6618638768095e-06,5.7850692531818e-34,1.59343535463378e-42,3.65735397244394e-20,1,0.0176627079347461,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex07",1.20622641134682e-21,0.950298233835542,0.000243973903285207,0.039375817727927,0.00133457130010976,1.4456408076553e-118,2.65297887757809e-116,1.97426862600669e-151,3.12823460620623e-124,2.65297887757809e-116,1.28306758581844e-128,1.14580647416681e-105,3.49024177100246e-158,0,1.629405693968e-124,7.61264863062931e-116,1.89756555218301e-99,2.31392885418423e-13,0.104311728618172,5.43271453408964e-10,1.37001933941605e-18,3.9959255891825e-07,0.00373908500335964,1,6.46813829170436e-15,9.57851960081487e-05,4.21516647344386e-37,1.83174765681999e-43,4.38205456706229e-17,1,1,1,1,0.548850219572051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex08",7.03252358072507e-20,0.100161671527189,9.50984270579688e-05,0.303214692825858,0.00328486803025829,1.3168144905622e-133,3.12380143972639e-216,0,5.33035617195785e-222,3.12380143972639e-216,0,3.0665951064038e-119,4.65232433145209e-135,1.28299660942362e-127,0,9.22283222158665e-140,1.4814917308611e-128,8.6963617390642e-05,1,0.00124518305298594,6.548290241931e-08,0.00998187879855262,0.000139593101330777,1,5.46366776945835e-05,0.533886986068268,2.69370243776761e-62,1.59741651208068e-72,1.42459860248083e-26,1,1,0.0327304608197778,1,0.00469231832299565,0.0937039486628907,1,1,1,0.044108622748559,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex09",7.55030615999793e-17,0.162897173335107,0.628615853444287,0.82783561852763,0.995329030245973,7.11667722593338e-136,2.37449205593254e-161,2.8293704179775e-185,2.98844962954134e-125,2.37449205593254e-161,5.31481044854111e-146,1.53649356060177e-226,2.93773863888802e-128,6.03699336290984e-119,7.17730133975615e-143,0,2.98429565897432e-100,4.58252972721138e-11,0.19682371925789,1.63258159115862e-07,1.59361590108553e-14,0.0110551271474593,2.69462328329011e-05,1,6.05528136251854e-11,0.00235657386895247,8.22103772448493e-48,4.87635551777542e-52,2.15729773018161e-21,1,0.649252721468146,0.535577837362267,0.311438660060427,0.014517643850888,0.00676969972935012,1,1,1,0.000647723039418215,1,1,1,1,1,1,1,1,1,1,1,1,1
"vROI_bonecortex03",1.52261695931394e-13,0.499217165434887,0.037294208429177,0.0407410531290552,0.0251946952732233,2.4139848457865e-149,2.28817147364791e-146,4.77571838715086e-151,2.22234571654758e-121,2.28817147364791e-146,4.67207611803593e-130,6.47016861622406e-95,8.42086165022267e-106,1.52906168588478e-102,1.16104367622343e-131,2.40281454023698e-103,0,3.74855499939318e-13,0.00282008580527665,1.46707418556274e-08,1.53682202063354e-17,2.6163673678915e-05,7.15726801206502e-10,0.000238363133858434,6.38543030475401e-12,0.00455743809898388,3.40361780282552e-50,6.29226875926108e-52,3.4343072937591e-19,1,1,0.403232237639733,1,0.265098007559528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness01",0.00480693543236505,1.03211967671211e-05,0.0640541698011639,0.831058916382027,0.159181647906659,5.46298003954666e-21,3.00320328750136e-08,3.27978370219123e-10,3.22573574002726e-08,3.00320328750136e-08,1.26252107535934e-08,1.30617436995441e-12,4.05602566707391e-21,2.10166108463599e-16,8.64449477044155e-08,4.20030222475837e-14,3.41087807042146e-16,0,9.99108344522175e-138,4.86560682436494e-158,3.0132440738909e-215,2.31928895770661e-55,3.90587134181277e-49,2.64924002762302e-20,2.92962737018062e-216,1.87439431476285e-26,2.40410667357744e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness02",0.744199577302139,0.000514768247035286,4.92599591558524e-08,0.0735328834639624,1.27734460943171e-06,1.82349565504843e-07,0.0516369164231311,0.0225509357465566,0.158226711704776,0.0516369164231311,0.0723345393816002,0.000479841989980791,2.65510479702595e-07,0.000116030843846688,0.142195155802044,0.000220902041815813,2.94065256024677e-06,7.78121763646554e-141,0,3.34083574707081e-59,3.81049377435938e-93,1.58411760242653e-24,1.12397020829116e-22,4.27170739427222e-09,7.02505678255635e-97,4.51024584943377e-10,1.37061701540823e-10,0.00689776864123475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness03",8.77570120408293e-05,1.08657060148628e-06,0.0745592440749074,0.0579964038385676,0.0484292501221061,1.11102500712971e-11,4.43918179058704e-05,7.31190854542312e-08,2.31929844447416e-07,4.43918179058704e-05,6.58924760344064e-07,1.34302336046345e-09,1.83187405552498e-17,5.01172927499044e-13,1.28501863053244e-06,1.54893889104233e-10,1.37495237634746e-11,3.7456557539376e-161,2.75874132706095e-62,0,1.72229281934876e-114,2.19000162730925e-37,2.80810966325635e-38,2.1552887863633e-19,1.68305226268242e-114,1.16554551231528e-09,7.21958798246617e-10,1,1,1,1,1,1,1,1,0.0691180944579946,1,1,1,0.00030615367620597,1,1,1,1,1,1,1,1,1,1,1,1
